tp_L (tr=1.17378e-12) X,tp_L (tr=1.17378e-12) Y,tp_L (tr=4.72397e-12) X,tp_L (tr=4.72397e-12) Y,tp_L (tr=1.71859e-11) X,tp_L (tr=1.71859e-11) Y,tp_L (tr=4.09838e-11) X,tp_L (tr=4.09838e-11) Y,tp_L (tr=7.80596e-11) X,tp_L (tr=7.80596e-11) Y,tp_L (tr=1.30081e-10) X,tp_L (tr=1.30081e-10) Y,tp_L (tr=1.98535e-10) X,tp_L (tr=1.98535e-10) Y
3.65616e-16,9.470248435230425e-12,3.65616e-16,9.730447336188794e-12,3.65616e-16,1.086496393045885e-11,3.65616e-16,1.338949909626896e-11,3.65616e-16,1.694683720019461e-11,3.65616e-16,2.124854459597455e-11,3.65616e-16,2.619680476260766e-11
1.89304e-15,9.470248435230425e-12,1.89304e-15,9.730447336188794e-12,1.89304e-15,1.086496393045885e-11,1.89304e-15,1.338949909626896e-11,1.89304e-15,1.694683720019461e-11,1.89304e-15,2.124854459597455e-11,1.89304e-15,2.619680476260766e-11
3.78609e-15,1.250688416669746e-11,3.78609e-15,1.279177197382484e-11,3.78609e-15,1.391037317749941e-11,3.78609e-15,1.655485135929676e-11,3.78609e-15,2.049478365401066e-11,3.78609e-15,2.531602569672955e-11,3.78609e-15,3.086322848203635e-11
7.57217e-15,2.313535382695192e-11,7.57217e-15,2.347609391909716e-11,7.57217e-15,2.460399970798561e-11,7.57217e-15,2.717781384356456e-11,7.57217e-15,3.164043790496411e-11,7.57217e-15,3.763698266149954e-11,7.57217e-15,4.474028238226977e-11
1.51443e-14,3.705710523003369e-11,1.51443e-14,3.740907769453113e-11,1.51443e-14,3.855154727975452e-11,1.51443e-14,4.09227958189663e-11,1.51443e-14,4.53619802535635e-11,1.51443e-14,5.1817592926572e-11,1.51443e-14,5.999132587071705e-11
3.02887e-14,6.465387020186369e-11,3.02887e-14,6.510498449275039e-11,3.02887e-14,6.622889601090221e-11,3.02887e-14,6.842822600141523e-11,3.02887e-14,7.247920407554855e-11,3.02887e-14,7.878425043121724e-11,3.02887e-14,8.766591122513199e-11
6.057739999999999e-14,1.200068305309173e-10,6.057739999999999e-14,1.202220059990836e-10,6.057739999999999e-14,1.214056670423255e-10,6.057739999999999e-14,1.236849563640161e-10,6.057739999999999e-14,1.271997295356246e-10,6.057739999999999e-14,1.3296306140696e-10,6.057739999999999e-14,1.41066182579249e-10
