t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,3.36494512378829e-12,3.65616e-16,3.369257396577325e-12,3.65616e-16,3.341457764948435e-12,3.65616e-16,3.500801110789015e-12,3.65616e-16,3.856283109942456e-12,3.65616e-16,4.45654406462183e-12,3.65616e-16,5.290079700031361e-12
1.89304e-15,3.36494512378829e-12,1.89304e-15,3.369257396577325e-12,1.89304e-15,3.341457764948435e-12,1.89304e-15,3.500801110789015e-12,1.89304e-15,3.856283109942456e-12,1.89304e-15,4.45654406462183e-12,1.89304e-15,5.290079700031361e-12
3.78609e-15,4.7989074838626e-12,3.78609e-15,4.793935150060412e-12,3.78609e-15,4.819151135305355e-12,3.78609e-15,4.917512775293168e-12,3.78609e-15,5.340111142075984e-12,3.78609e-15,5.886935110806271e-12,3.78609e-15,6.623094536477229e-12
7.57217e-15,9.70678436596998e-12,7.57217e-15,9.800231552296054e-12,7.57217e-15,9.722623110515506e-12,7.57217e-15,9.881700914658001e-12,7.57217e-15,1.019817376705188e-11,7.57217e-15,1.080340499489162e-11,7.57217e-15,1.152005537297327e-11
1.51443e-14,1.650999662680421e-11,1.51443e-14,1.646030729955674e-11,1.51443e-14,1.649439580072342e-11,1.51443e-14,1.653436866751108e-11,1.51443e-14,1.659824841268714e-11,1.51443e-14,1.703772193308263e-11,1.51443e-14,1.795145682824784e-11
3.02887e-14,3.049054742163092e-11,3.02887e-14,3.061253562686038e-11,3.02887e-14,3.054136796395714e-11,3.02887e-14,3.030797665285211e-11,3.02887e-14,3.058540489993889e-11,3.02887e-14,3.047185210899842e-11,3.02887e-14,3.11213945324753e-11
6.057739999999999e-14,5.992179390718987e-11,6.057739999999999e-14,6.003349939060865e-11,6.057739999999999e-14,5.992247674041913e-11,6.057739999999999e-14,5.926897483486615e-11,6.057739999999999e-14,5.899294248019833e-11,6.057739999999999e-14,5.925508871663314e-11,6.057739999999999e-14,5.900124649688079e-11
