t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,2.518891323600572e-12,3.65616e-16,2.535286016204886e-12,3.65616e-16,2.533717215845734e-12,3.65616e-16,2.941215994630224e-12,3.65616e-16,3.647069724775565e-12,3.65616e-16,4.391029315122225e-12,3.65616e-16,5.354162427962154e-12
1.89304e-15,2.518891323600572e-12,1.89304e-15,2.535286016204886e-12,1.89304e-15,2.533717215845734e-12,1.89304e-15,2.941215994630224e-12,1.89304e-15,3.647069724775565e-12,1.89304e-15,4.391029315122225e-12,1.89304e-15,5.354162427962154e-12
3.78609e-15,3.806397776941247e-12,3.78609e-15,3.752029056029197e-12,3.78609e-15,3.786322044033387e-12,3.78609e-15,4.05430718395477e-12,3.78609e-15,4.733627619418536e-12,3.78609e-15,5.468118807305525e-12,3.78609e-15,6.346328510501736e-12
7.57217e-15,8.376004312497741e-12,7.57217e-15,8.383609430662006e-12,7.57217e-15,8.421788854255352e-12,7.57217e-15,8.510062184369203e-12,7.57217e-15,8.96955866572244e-12,7.57217e-15,9.514753378223577e-12,7.57217e-15,1.046972541225625e-11
1.51443e-14,1.499388750373799e-11,1.51443e-14,1.512711760962931e-11,1.51443e-14,1.508030784549007e-11,1.51443e-14,1.508164491432074e-11,1.51443e-14,1.517975128753544e-11,1.51443e-14,1.546533752834056e-11,1.51443e-14,1.600503060182623e-11
3.02887e-14,2.894553051672332e-11,3.02887e-14,2.878702598885817e-11,3.02887e-14,2.913362057324183e-11,3.02887e-14,2.911713339776207e-11,3.02887e-14,2.886735221255233e-11,3.02887e-14,2.872573695093555e-11,3.02887e-14,2.925790176474115e-11
6.057739999999999e-14,5.701699706014112e-11,6.057739999999999e-14,5.660585170578642e-11,6.057739999999999e-14,5.696944600451363e-11,6.057739999999999e-14,5.681302041071642e-11,6.057739999999999e-14,5.646591835448954e-11,6.057739999999999e-14,5.638573471900817e-11,6.057739999999999e-14,5.604403893306683e-11
