tp_L (tf=1.17378e-12) X,tp_L (tf=1.17378e-12) Y,tp_L (tf=4.72397e-12) X,tp_L (tf=4.72397e-12) Y,tp_L (tf=1.71859e-11) X,tp_L (tf=1.71859e-11) Y,tp_L (tf=4.09838e-11) X,tp_L (tf=4.09838e-11) Y,tp_L (tf=7.80596e-11) X,tp_L (tf=7.80596e-11) Y,tp_L (tf=1.30081e-10) X,tp_L (tf=1.30081e-10) Y,tp_L (tf=1.98535e-10) X,tp_L (tf=1.98535e-10) Y
3.65616e-16,1.154915589437465e-11,3.65616e-16,1.191187490005838e-11,3.65616e-16,1.378581514822692e-11,3.65616e-16,1.72307059679015e-11,3.65616e-16,2.059387035727988e-11,3.65616e-16,2.398010204301636e-11,3.65616e-16,2.733130703541652e-11
1.89304e-15,1.154915589437465e-11,1.89304e-15,1.191187490005838e-11,1.89304e-15,1.378581514822692e-11,1.89304e-15,1.72307059679015e-11,1.89304e-15,2.059387035727988e-11,1.89304e-15,2.398010204301636e-11,1.89304e-15,2.733130703541652e-11
3.78609e-15,1.364354461795334e-11,3.78609e-15,1.402826319716299e-11,3.78609e-15,1.585169396776287e-11,3.78609e-15,1.934626126615567e-11,3.78609e-15,2.282904769242967e-11,3.78609e-15,2.637916279512482e-11,3.78609e-15,2.98821710519457e-11
7.57217e-15,2.002832478611163e-11,7.57217e-15,2.039482485254353e-11,7.57217e-15,2.219498952396376e-11,7.57217e-15,2.565941763474486e-11,7.57217e-15,2.93585692081057e-11,7.57217e-15,3.315314764638599e-11,7.57217e-15,3.694219801698374e-11
1.51443e-14,2.786679388922064e-11,1.51443e-14,2.822166791348522e-11,1.51443e-14,3.002621336217571e-11,1.51443e-14,3.343032837058197e-11,1.51443e-14,3.710142781032157e-11,1.51443e-14,4.093152899735388e-11,1.51443e-14,4.488686449281072e-11
3.02887e-14,4.334272381413032e-11,3.02887e-14,4.376736980634483e-11,3.02887e-14,4.557242547185259e-11,3.02887e-14,4.891994040610723e-11,3.02887e-14,5.248948513898886e-11,3.02887e-14,5.618353745153321e-11,3.02887e-14,6.009613562492138e-11
6.057739999999999e-14,7.43563429709945e-11,6.057739999999999e-14,7.468403066630759e-11,6.057739999999999e-14,7.661154717384385e-11,6.057739999999999e-14,7.993327231160631e-11,6.057739999999999e-14,8.337853911077328e-11,6.057739999999999e-14,8.695117664713989e-11,6.057739999999999e-14,9.077608286403251e-11
