t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,2.3554980648703e-12,3.65616e-16,2.383060522211662e-12,3.65616e-16,2.396473410702346e-12,3.65616e-16,2.902319699338103e-12,3.65616e-16,3.618879645694564e-12,3.65616e-16,4.466838264358841e-12,3.65616e-16,5.449909535969904e-12
1.89304e-15,2.3554980648703e-12,1.89304e-15,2.383060522211662e-12,1.89304e-15,2.396473410702346e-12,1.89304e-15,2.902319699338103e-12,1.89304e-15,3.618879645694564e-12,1.89304e-15,4.466838264358841e-12,1.89304e-15,5.449909535969904e-12
3.78609e-15,3.646090673101098e-12,3.78609e-15,3.647024623702269e-12,3.78609e-15,3.627233480004447e-12,3.78609e-15,4.102009047503671e-12,3.78609e-15,4.759319499825145e-12,3.78609e-15,5.65716145154225e-12,3.78609e-15,6.702146523033822e-12
7.57217e-15,8.290682950883609e-12,7.57217e-15,8.278754367662021e-12,7.57217e-15,8.338469091299086e-12,7.57217e-15,8.478921843649207e-12,7.57217e-15,8.854392291006097e-12,7.57217e-15,9.722092617327514e-12,7.57217e-15,1.092211505402959e-11
1.51443e-14,1.510669847198042e-11,1.51443e-14,1.509093890018298e-11,1.51443e-14,1.502991695554165e-11,1.51443e-14,1.497088361599336e-11,1.51443e-14,1.514016478800707e-11,1.51443e-14,1.565936366404074e-11,1.51443e-14,1.626677733727512e-11
3.02887e-14,2.919206559912813e-11,3.02887e-14,2.919151091633857e-11,3.02887e-14,2.908802305641026e-11,3.02887e-14,2.913155643482944e-11,3.02887e-14,2.894086512310653e-11,3.02887e-14,2.87584136511756e-11,3.02887e-14,2.943399259100364e-11
6.057739999999999e-14,5.698341521691029e-11,6.057739999999999e-14,5.721930703206641e-11,6.057739999999999e-14,5.63359714559428e-11,6.057739999999999e-14,5.696900711557819e-11,6.057739999999999e-14,5.712929478285439e-11,6.057739999999999e-14,5.650821721714457e-11,6.057739999999999e-14,5.609734762566514e-11
