t_R (tf=1.17378e-12) X,t_R (tf=1.17378e-12) Y,t_R (tf=4.72397e-12) X,t_R (tf=4.72397e-12) Y,t_R (tf=1.71859e-11) X,t_R (tf=1.71859e-11) Y,t_R (tf=4.09838e-11) X,t_R (tf=4.09838e-11) Y,t_R (tf=7.80596e-11) X,t_R (tf=7.80596e-11) Y,t_R (tf=1.30081e-10) X,t_R (tf=1.30081e-10) Y,t_R (tf=1.98535e-10) X,t_R (tf=1.98535e-10) Y
3.65616e-16,6.216761719020741e-12,3.65616e-16,6.219230703904322e-12,3.65616e-16,6.280085260195834e-12,3.65616e-16,7.452338361850782e-12,3.65616e-16,9.731549932076275e-12,3.65616e-16,1.382925816475439e-11,3.65616e-16,1.837386781135732e-11
1.89304e-15,6.216761719020741e-12,1.89304e-15,6.219230703904322e-12,1.89304e-15,6.280085260195834e-12,1.89304e-15,7.452338361850782e-12,1.89304e-15,9.731549932076275e-12,1.89304e-15,1.382925816475439e-11,1.89304e-15,1.837386781135732e-11
3.78609e-15,8.265529536347643e-12,3.78609e-15,8.264903989603806e-12,3.78609e-15,8.285204250857076e-12,3.78609e-15,9.200805379956003e-12,3.78609e-15,1.152744387327118e-11,3.78609e-15,1.51246221180871e-11,3.78609e-15,1.996671862200659e-11
7.57217e-15,1.584928854253593e-11,7.57217e-15,1.586329770859163e-11,7.57217e-15,1.58883217988188e-11,7.57217e-15,1.604237344687887e-11,7.57217e-15,1.78137962523647e-11,7.57217e-15,2.105364243569011e-11,7.57217e-15,2.558284417618848e-11
1.51443e-14,2.603007377506192e-11,1.51443e-14,2.607540767458396e-11,1.51443e-14,2.604535559240113e-11,1.51443e-14,2.607713274538496e-11,1.51443e-14,2.671215987751017e-11,1.51443e-14,2.929066102026985e-11,1.51443e-14,3.338744278537499e-11
3.02887e-14,4.636716065270618e-11,3.02887e-14,4.630682890161226e-11,3.02887e-14,4.650114738740727e-11,3.02887e-14,4.646236654234024e-11,3.02887e-14,4.637851850418823e-11,3.02887e-14,4.741923608324123e-11,3.02887e-14,5.040910761006842e-11
6.057739999999999e-14,8.679624476430054e-11,6.057739999999999e-14,8.669828171526934e-11,6.057739999999999e-14,8.714427054736978e-11,6.057739999999999e-14,8.718492900810451e-11,6.057739999999999e-14,8.718125406539262e-11,6.057739999999999e-14,8.709067149351166e-11,6.057739999999999e-14,8.788843963568058e-11
