t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,3.276438167997597e-12,3.65616e-16,3.235958551693751e-12,3.65616e-16,3.277622907309063e-12,3.65616e-16,3.554591999287304e-12,3.65616e-16,4.104546541692638e-12,3.65616e-16,4.74726089504771e-12,3.65616e-16,5.727798784827903e-12
1.89304e-15,3.276438167997597e-12,1.89304e-15,3.235958551693751e-12,1.89304e-15,3.277622907309063e-12,1.89304e-15,3.554591999287304e-12,1.89304e-15,4.104546541692638e-12,1.89304e-15,4.74726089504771e-12,1.89304e-15,5.727798784827903e-12
3.78609e-15,5.133427920417342e-12,3.78609e-15,5.155327670612973e-12,3.78609e-15,5.201832615600672e-12,3.78609e-15,5.386404810367461e-12,3.78609e-15,5.853608577879569e-12,3.78609e-15,6.455743754059114e-12,3.78609e-15,7.222255136761097e-12
7.57217e-15,1.257932992079814e-11,7.57217e-15,1.250472708207261e-11,7.57217e-15,1.261159131526656e-11,7.57217e-15,1.259661975383954e-11,7.57217e-15,1.267234112474918e-11,7.57217e-15,1.298168274041984e-11,7.57217e-15,1.342729045446122e-11
1.51443e-14,2.287709267868119e-11,1.51443e-14,2.275522246063165e-11,1.51443e-14,2.279685671544239e-11,1.51443e-14,2.278257159044852e-11,1.51443e-14,2.255057211136038e-11,1.51443e-14,2.276914717739938e-11,1.51443e-14,2.297279759117867e-11
3.02887e-14,4.338653414570225e-11,3.02887e-14,4.337055448475889e-11,3.02887e-14,4.314116041738066e-11,3.02887e-14,4.298945718637271e-11,3.02887e-14,4.287348005312058e-11,3.02887e-14,4.260750503128685e-11,3.02887e-14,4.290860626911421e-11
6.057739999999999e-14,8.470399641617259e-11,6.057739999999999e-14,8.444990844395551e-11,6.057739999999999e-14,8.406379758701656e-11,6.057739999999999e-14,8.42533434091871e-11,6.057739999999999e-14,8.38171397659975e-11,6.057739999999999e-14,8.293385488631248e-11,6.057739999999999e-14,8.313713088959061e-11
