t_R (tf=1.17378e-12) X,t_R (tf=1.17378e-12) Y,t_R (tf=4.72397e-12) X,t_R (tf=4.72397e-12) Y,t_R (tf=1.71859e-11) X,t_R (tf=1.71859e-11) Y,t_R (tf=4.09838e-11) X,t_R (tf=4.09838e-11) Y,t_R (tf=7.80596e-11) X,t_R (tf=7.80596e-11) Y,t_R (tf=1.30081e-10) X,t_R (tf=1.30081e-10) Y,t_R (tf=1.98535e-10) X,t_R (tf=1.98535e-10) Y
3.65616e-16,4.16182358266932e-12,3.65616e-16,4.187239421731964e-12,3.65616e-16,4.398536078753837e-12,3.65616e-16,5.912980522145428e-12,3.65616e-16,8.529565627685118e-12,3.65616e-16,1.195825279588979e-11,3.65616e-16,1.558853900604039e-11
1.89304e-15,4.16182358266932e-12,1.89304e-15,4.187239421731964e-12,1.89304e-15,4.398536078753837e-12,1.89304e-15,5.912980522145428e-12,1.89304e-15,8.529565627685118e-12,1.89304e-15,1.195825279588979e-11,1.89304e-15,1.558853900604039e-11
3.78609e-15,6.235175942436944e-12,3.78609e-15,6.232912124102025e-12,3.78609e-15,6.297933569450142e-12,3.78609e-15,7.570809030709237e-12,3.78609e-15,1.006770762970535e-11,3.78609e-15,1.37727967461855e-11,3.78609e-15,1.780980711735926e-11
7.57217e-15,1.38198937518646e-11,7.57217e-15,1.381798310550688e-11,7.57217e-15,1.380761168073245e-11,7.57217e-15,1.415664834981154e-11,7.57217e-15,1.61389946676873e-11,7.57217e-15,1.95328466720939e-11,7.57217e-15,2.405403922232526e-11
1.51443e-14,2.39517611155979e-11,1.51443e-14,2.395881398908581e-11,1.51443e-14,2.395259615023247e-11,1.51443e-14,2.393472798195322e-11,1.51443e-14,2.485189296378432e-11,1.51443e-14,2.760388635489954e-11,1.51443e-14,3.177646518648243e-11
3.02887e-14,4.400948280429147e-11,3.02887e-14,4.406294526235743e-11,3.02887e-14,4.404866930130508e-11,3.02887e-14,4.416982549979432e-11,3.02887e-14,4.399051564531119e-11,3.02887e-14,4.528665917393687e-11,3.02887e-14,4.859203281005277e-11
6.057739999999999e-14,8.436757023184334e-11,6.057739999999999e-14,8.423299069148588e-11,6.057739999999999e-14,8.43027735051385e-11,6.057739999999999e-14,8.445431986698756e-11,6.057739999999999e-14,8.419324642905685e-11,6.057739999999999e-14,8.423034216304679e-11,6.057739999999999e-14,8.531418983003738e-11
