t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,4.550432096383312e-12,3.65616e-16,4.543243779264782e-12,3.65616e-16,4.585689684342625e-12,3.65616e-16,4.542252345152167e-12,3.65616e-16,4.517245371319671e-12,3.65616e-16,4.946737500668e-12,3.65616e-16,5.448315451329163e-12
1.89304e-15,4.550432096383312e-12,1.89304e-15,4.543243779264782e-12,1.89304e-15,4.585689684342625e-12,1.89304e-15,4.542252345152167e-12,1.89304e-15,4.517245371319671e-12,1.89304e-15,4.946737500668e-12,1.89304e-15,5.448315451329163e-12
3.78609e-15,6.498379399855475e-12,3.78609e-15,6.482429333863226e-12,3.78609e-15,6.538819296353068e-12,3.78609e-15,6.4924189073054e-12,3.78609e-15,6.389358837256856e-12,3.78609e-15,6.700884818597534e-12,3.78609e-15,7.187881543728811e-12
7.57217e-15,1.394265073030893e-11,7.57217e-15,1.392267456229768e-11,7.57217e-15,1.390000089836449e-11,7.57217e-15,1.397434086127154e-11,7.57217e-15,1.359676908038981e-11,7.57217e-15,1.362110619111798e-11,7.57217e-15,1.381773409547642e-11
1.51443e-14,2.40579007802523e-11,1.51443e-14,2.403985407719064e-11,1.51443e-14,2.395819648744137e-11,1.51443e-14,2.400307084043364e-11,1.51443e-14,2.371862703406984e-11,1.51443e-14,2.353180547771907e-11,1.51443e-14,2.333488991203022e-11
3.02887e-14,4.425201271216114e-11,3.02887e-14,4.431648290047903e-11,3.02887e-14,4.426855258921184e-11,3.02887e-14,4.412937330639421e-11,3.02887e-14,4.411380990632993e-11,3.02887e-14,4.37552897335148e-11,3.02887e-14,4.377651893931952e-11
6.057739999999999e-14,8.457713984770121e-11,6.057739999999999e-14,8.451858957577316e-11,6.057739999999999e-14,8.507347810703852e-11,6.057739999999999e-14,8.47432056275748e-11,6.057739999999999e-14,8.489693596251879e-11,6.057739999999999e-14,8.460260457278864e-11,6.057739999999999e-14,8.396135165384512e-11
