tp_H (tf=1.17378e-12) X,tp_H (tf=1.17378e-12) Y,tp_H (tf=4.72397e-12) X,tp_H (tf=4.72397e-12) Y,tp_H (tf=1.71859e-11) X,tp_H (tf=1.71859e-11) Y,tp_H (tf=4.09838e-11) X,tp_H (tf=4.09838e-11) Y,tp_H (tf=7.80596e-11) X,tp_H (tf=7.80596e-11) Y,tp_H (tf=1.30081e-10) X,tp_H (tf=1.30081e-10) Y,tp_H (tf=1.98535e-10) X,tp_H (tf=1.98535e-10) Y
3.65616e-16,6.94244311876093e-12,3.65616e-16,6.990198348001053e-12,3.65616e-16,7.138512915640245e-12,3.65616e-16,6.768941693382438e-12,3.65616e-16,5.56798131382597e-12,3.65616e-16,3.316528596985457e-12,3.65616e-16,-1.703524432604549e-13
1.89304e-15,6.94244311876093e-12,1.89304e-15,6.990198348001053e-12,1.89304e-15,7.138512915640245e-12,1.89304e-15,6.768941693382438e-12,1.89304e-15,5.56798131382597e-12,1.89304e-15,3.316528596985457e-12,1.89304e-15,-1.703524432604549e-13
3.78609e-15,9.496102952273384e-12,3.78609e-15,9.621679512010021e-12,3.78609e-15,9.785978623048377e-12,3.78609e-15,9.905543871146128e-12,3.78609e-15,9.330144492355673e-12,3.78609e-15,7.863047473531659e-12,3.78609e-15,5.155321705147062e-12
7.57217e-15,1.828830691142636e-11,7.57217e-15,1.852165068070571e-11,7.57217e-15,1.87071748987636e-11,7.57217e-15,1.947149219320979e-11,7.57217e-15,2.015040268054609e-11,7.57217e-15,2.041767604362224e-11,7.57217e-15,1.978376889179692e-11
1.51443e-14,2.983024157676085e-11,1.51443e-14,3.012419591503057e-11,1.51443e-14,3.031543810263452e-11,1.51443e-14,3.100525827993691e-11,1.51443e-14,3.233045576289637e-11,1.51443e-14,3.36865810659713e-11,1.51443e-14,3.461934221662937e-11
3.02887e-14,5.291009888418465e-11,3.02887e-14,5.314321456866547e-11,3.02887e-14,5.350981744613505e-11,3.02887e-14,5.402105470412084e-11,3.02887e-14,5.513033526211031e-11,3.02887e-14,5.730739196053452e-11,3.02887e-14,5.975578554497921e-11
6.057739999999999e-14,9.901447121094766e-11,6.057739999999999e-14,9.944816339591657e-11,6.057739999999999e-14,9.965237529955239e-11,6.057739999999999e-14,1.002767660694928e-10,6.057739999999999e-14,1.009511996651752e-10,6.057739999999999e-14,1.025156109770809e-10,6.057739999999999e-14,1.055247721412073e-10
