tp_L (tf=1.17378e-12) X,tp_L (tf=1.17378e-12) Y,tp_L (tf=4.72397e-12) X,tp_L (tf=4.72397e-12) Y,tp_L (tf=1.71859e-11) X,tp_L (tf=1.71859e-11) Y,tp_L (tf=4.09838e-11) X,tp_L (tf=4.09838e-11) Y,tp_L (tf=7.80596e-11) X,tp_L (tf=7.80596e-11) Y,tp_L (tf=1.30081e-10) X,tp_L (tf=1.30081e-10) Y,tp_L (tf=1.98535e-10) X,tp_L (tf=1.98535e-10) Y
3.65616e-16,1.486977113767193e-11,3.65616e-16,1.483567522727345e-11,3.65616e-16,1.60099975531152e-11,3.65616e-16,1.882091826244478e-11,3.65616e-16,2.204257104152062e-11,3.65616e-16,2.560370577959111e-11,3.65616e-16,2.925710970038082e-11
1.89304e-15,1.486977113767193e-11,1.89304e-15,1.483567522727345e-11,1.89304e-15,1.60099975531152e-11,1.89304e-15,1.882091826244478e-11,1.89304e-15,2.204257104152062e-11,1.89304e-15,2.560370577959111e-11,1.89304e-15,2.925710970038082e-11
3.78609e-15,1.714734689963036e-11,3.78609e-15,1.712574832171404e-11,3.78609e-15,1.83071508980965e-11,3.78609e-15,2.101536451920326e-11,3.78609e-15,2.432058104498458e-11,3.78609e-15,2.798855164746334e-11,3.78609e-15,3.191261432079281e-11
7.57217e-15,2.419069655301463e-11,7.57217e-15,2.420563624258116e-11,7.57217e-15,2.53027746537558e-11,7.57217e-15,2.798671590408026e-11,7.57217e-15,3.137067324178198e-11,7.57217e-15,3.514450345456239e-11,7.57217e-15,3.919027274996144e-11
1.51443e-14,3.256748754219887e-11,1.51443e-14,3.260448186294906e-11,1.51443e-14,3.370704360022661e-11,1.51443e-14,3.636073390504172e-11,1.51443e-14,3.981074764849666e-11,1.51443e-14,4.360705889606766e-11,1.51443e-14,4.776590050529451e-11
3.02887e-14,4.882657327875778e-11,3.02887e-14,4.887598057912551e-11,3.02887e-14,4.995793081851981e-11,3.02887e-14,5.257190167532171e-11,3.02887e-14,5.606169717211313e-11,3.02887e-14,5.973181148694706e-11,3.02887e-14,6.391995328342883e-11
6.057739999999999e-14,8.114895272995529e-11,6.057739999999999e-14,8.130134735656086e-11,6.057739999999999e-14,8.259921660324645e-11,6.057739999999999e-14,8.52444181381689e-11,6.057739999999999e-14,8.842488951363482e-11,6.057739999999999e-14,9.21092186050044e-11,6.057739999999999e-14,9.634300175753528e-11
