t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,4.577883878316192e-12,3.65616e-16,4.559001863193646e-12,3.65616e-16,4.513051580009432e-12,3.65616e-16,4.676760498471517e-12,3.65616e-16,5.062494523189965e-12,3.65616e-16,5.753116015506297e-12,3.65616e-16,6.39995850971597e-12
1.89304e-15,4.577883878316192e-12,1.89304e-15,4.559001863193646e-12,1.89304e-15,4.513051580009432e-12,1.89304e-15,4.676760498471517e-12,1.89304e-15,5.062494523189965e-12,1.89304e-15,5.753116015506297e-12,1.89304e-15,6.39995850971597e-12
3.78609e-15,5.644170210755444e-12,3.78609e-15,5.709605836363323e-12,3.78609e-15,5.712964067062121e-12,3.78609e-15,5.760208053602343e-12,3.78609e-15,6.221087857333898e-12,3.78609e-15,6.763297210586815e-12,3.78609e-15,7.525480047538484e-12
7.57217e-15,9.938142868196719e-12,7.57217e-15,1.001084827567823e-11,7.57217e-15,1.000556837425795e-11,7.57217e-15,9.960101559584799e-12,7.57217e-15,1.027876542606819e-11,7.57217e-15,1.080163918805096e-11,7.57217e-15,1.14777139817174e-11
1.51443e-14,1.558965686195353e-11,1.51443e-14,1.577141062063993e-11,1.51443e-14,1.579940501223858e-11,1.51443e-14,1.574916546880541e-11,1.51443e-14,1.590249297707642e-11,1.51443e-14,1.610573033950808e-11,1.51443e-14,1.660275077907114e-11
3.02887e-14,2.775921560966709e-11,3.02887e-14,2.781819558895873e-11,3.02887e-14,2.775991020639452e-11,3.02887e-14,2.786682763932121e-11,3.02887e-14,2.763895985749502e-11,3.02887e-14,2.789465115475471e-11,3.02887e-14,2.796440997594267e-11
6.057739999999999e-14,5.288336852398579e-11,6.057739999999999e-14,5.296340966611049e-11,6.057739999999999e-14,5.273822007790997e-11,6.057739999999999e-14,5.258759903912361e-11,6.057739999999999e-14,5.299660043820004e-11,6.057739999999999e-14,5.248244850893763e-11,6.057739999999999e-14,5.283554836223887e-11
