t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,5.094003086730617e-12,3.65616e-16,5.116712871347989e-12,3.65616e-16,5.095596657832466e-12,3.65616e-16,5.16699774089755e-12,3.65616e-16,5.609265089647705e-12,3.65616e-16,6.294962730812139e-12,3.65616e-16,6.965144083627305e-12
1.89304e-15,5.094003086730617e-12,1.89304e-15,5.116712871347989e-12,1.89304e-15,5.095596657832466e-12,1.89304e-15,5.16699774089755e-12,1.89304e-15,5.609265089647705e-12,1.89304e-15,6.294962730812139e-12,1.89304e-15,6.965144083627305e-12
3.78609e-15,7.038322140879841e-12,3.78609e-15,7.003358590398794e-12,3.78609e-15,6.971077067287409e-12,3.78609e-15,7.115856973818735e-12,3.78609e-15,7.411382198331751e-12,3.78609e-15,7.979063096607668e-12,3.78609e-15,8.635631675080658e-12
7.57217e-15,1.422017026410753e-11,7.57217e-15,1.420929955833778e-11,7.57217e-15,1.426147510684189e-11,7.57217e-15,1.425612284769322e-11,7.57217e-15,1.433657870026572e-11,7.57217e-15,1.464787896282478e-11,7.57217e-15,1.522554057416612e-11
1.51443e-14,2.429057403225574e-11,1.51443e-14,2.441539069629951e-11,1.51443e-14,2.432362260854648e-11,1.51443e-14,2.437663539282314e-11,1.51443e-14,2.433812337039033e-11,1.51443e-14,2.42006498377719e-11,1.51443e-14,2.459579180711776e-11
3.02887e-14,4.478708213082352e-11,3.02887e-14,4.47490358257577e-11,3.02887e-14,4.446776671277799e-11,3.02887e-14,4.469280069721987e-11,3.02887e-14,4.443622895020407e-11,3.02887e-14,4.42096962114315e-11,3.02887e-14,4.429824859260022e-11
6.057739999999999e-14,8.559786143995224e-11,6.057739999999999e-14,8.501084038895129e-11,6.057739999999999e-14,8.506329853358441e-11,6.057739999999999e-14,8.474655714209203e-11,6.057739999999999e-14,8.529009452918809e-11,6.057739999999999e-14,8.538173384907875e-11,6.057739999999999e-14,8.476162043217548e-11
