tp_L (tf=1.17378e-12) X,tp_L (tf=1.17378e-12) Y,tp_L (tf=4.72397e-12) X,tp_L (tf=4.72397e-12) Y,tp_L (tf=1.71859e-11) X,tp_L (tf=1.71859e-11) Y,tp_L (tf=4.09838e-11) X,tp_L (tf=4.09838e-11) Y,tp_L (tf=7.80596e-11) X,tp_L (tf=7.80596e-11) Y,tp_L (tf=1.30081e-10) X,tp_L (tf=1.30081e-10) Y,tp_L (tf=1.98535e-10) X,tp_L (tf=1.98535e-10) Y
3.65616e-16,1.345348168951721e-11,3.65616e-16,1.367662804572788e-11,3.65616e-16,1.488399993992672e-11,3.65616e-16,1.68732188598573e-11,3.65616e-16,1.806050407231768e-11,3.65616e-16,1.80265791849883e-11,3.65616e-16,1.651689375303369e-11
1.89304e-15,1.345348168951721e-11,1.89304e-15,1.367662804572788e-11,1.89304e-15,1.488399993992672e-11,1.89304e-15,1.68732188598573e-11,1.89304e-15,1.806050407231768e-11,1.89304e-15,1.80265791849883e-11,1.89304e-15,1.651689375303369e-11
3.78609e-15,1.553839448730282e-11,3.78609e-15,1.576787339041239e-11,3.78609e-15,1.693264084949012e-11,3.78609e-15,1.894371154046024e-11,3.78609e-15,2.021630576302091e-11,3.78609e-15,2.032081915475761e-11,3.78609e-15,1.903564704980309e-11
7.57217e-15,2.222918253232153e-11,7.57217e-15,2.243781743396206e-11,7.57217e-15,2.360082418146472e-11,7.57217e-15,2.555227304537767e-11,7.57217e-15,2.698585272197393e-11,7.57217e-15,2.732373167977814e-11,7.57217e-15,2.636877698151385e-11
1.51443e-14,3.049665704274272e-11,1.51443e-14,3.072959276908015e-11,1.51443e-14,3.184653606655264e-11,1.51443e-14,3.376661034489169e-11,1.51443e-14,3.516907953675862e-11,1.51443e-14,3.562874431021936e-11,1.51443e-14,3.496026075835212e-11
3.02887e-14,4.687781155872024e-11,3.02887e-14,4.714008448259002e-11,3.02887e-14,4.821719924630074e-11,3.02887e-14,5.009573923638544e-11,3.02887e-14,5.128653006088854e-11,3.02887e-14,5.169452533278805e-11,3.02887e-14,5.109717179527306e-11
6.057739999999999e-14,8.018324005155608e-11,6.057739999999999e-14,8.03927822015854e-11,6.057739999999999e-14,8.089235545951658e-11,6.057739999999999e-14,8.328714756820268e-11,6.057739999999999e-14,8.418777730238197e-11,6.057739999999999e-14,8.393725767014966e-11,6.057739999999999e-14,8.341070330157896e-11
