t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,3.622891028074954e-12,3.65616e-16,3.641062351002776e-12,3.65616e-16,3.572083900632197e-12,3.65616e-16,3.752133190522776e-12,3.65616e-16,4.522604445505912e-12,3.65616e-16,5.403413400948222e-12,3.65616e-16,6.38486282518355e-12
1.89304e-15,3.622891028074954e-12,1.89304e-15,3.641062351002776e-12,1.89304e-15,3.572083900632197e-12,1.89304e-15,3.752133190522776e-12,1.89304e-15,4.522604445505912e-12,1.89304e-15,5.403413400948222e-12,1.89304e-15,6.38486282518355e-12
3.78609e-15,4.842546760094988e-12,3.78609e-15,4.78822559003599e-12,3.78609e-15,4.90680851726613e-12,3.78609e-15,4.964222320759984e-12,3.78609e-15,5.715409892956503e-12,3.78609e-15,6.517828883340238e-12,3.78609e-15,7.434243243492757e-12
7.57217e-15,9.472503131555604e-12,7.57217e-15,9.43050442588466e-12,7.57217e-15,9.485446856072124e-12,7.57217e-15,9.519206965809056e-12,7.57217e-15,9.959787204116636e-12,7.57217e-15,1.068407576767393e-11,7.57217e-15,1.171883400081412e-11
1.51443e-14,1.604806554199203e-11,1.51443e-14,1.601689733726958e-11,1.51443e-14,1.593408494838544e-11,1.51443e-14,1.60206431133648e-11,1.51443e-14,1.612820277331602e-11,1.51443e-14,1.66147561905534e-11,1.51443e-14,1.723529630376823e-11
3.02887e-14,2.953113449782919e-11,3.02887e-14,2.983659547632968e-11,3.02887e-14,2.997390154235689e-11,3.02887e-14,2.988208329446854e-11,3.02887e-14,2.966324381999e-11,3.02887e-14,2.962078024477712e-11,3.02887e-14,2.998304897106308e-11
6.057739999999999e-14,5.78038208396574e-11,6.057739999999999e-14,5.815027507539331e-11,6.057739999999999e-14,5.793961740907828e-11,6.057739999999999e-14,5.814421048237772e-11,6.057739999999999e-14,5.744187125105527e-11,6.057739999999999e-14,5.782457378469252e-11,6.057739999999999e-14,5.723635447668511e-11
