t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,4.687119447062748e-12,3.65616e-16,4.656872943127793e-12,3.65616e-16,4.67339682114245e-12,3.65616e-16,4.71182909489474e-12,3.65616e-16,5.221524909945846e-12,3.65616e-16,5.910492355491707e-12,3.65616e-16,6.863798052005851e-12
1.89304e-15,4.687119447062748e-12,1.89304e-15,4.656872943127793e-12,1.89304e-15,4.67339682114245e-12,1.89304e-15,4.71182909489474e-12,1.89304e-15,5.221524909945846e-12,1.89304e-15,5.910492355491707e-12,1.89304e-15,6.863798052005851e-12
3.78609e-15,6.120651643046164e-12,3.78609e-15,6.118601542013629e-12,3.78609e-15,6.107497778528998e-12,3.78609e-15,6.171467241347156e-12,3.78609e-15,6.576722116251136e-12,3.78609e-15,7.224994670450452e-12,3.78609e-15,8.10378643410775e-12
7.57217e-15,1.113611673977762e-11,7.57217e-15,1.122255912395028e-11,7.57217e-15,1.116522069838955e-11,7.57217e-15,1.122763397184834e-11,7.57217e-15,1.146784187179264e-11,7.57217e-15,1.212317014706858e-11,7.57217e-15,1.284460392803658e-11
1.51443e-14,1.772523769898263e-11,1.51443e-14,1.784236861199839e-11,1.51443e-14,1.778451831374813e-11,1.51443e-14,1.777794271746863e-11,1.51443e-14,1.809959765342886e-11,1.51443e-14,1.832573180746647e-11,1.51443e-14,1.909386731858546e-11
3.02887e-14,3.158708910548775e-11,3.02887e-14,3.168480576869319e-11,3.02887e-14,3.1608227033482e-11,3.02887e-14,3.155845085316698e-11,3.02887e-14,3.163541385715022e-11,3.02887e-14,3.190738665469042e-11,3.02887e-14,3.210723162362585e-11
6.057739999999999e-14,6.067593561886264e-11,6.057739999999999e-14,5.987007813546909e-11,6.057739999999999e-14,6.069866396283453e-11,6.057739999999999e-14,6.07464156459845e-11,6.057739999999999e-14,6.069844407205202e-11,6.057739999999999e-14,6.073758269574205e-11,6.057739999999999e-14,6.053728568835474e-11
