t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,4.632253791565666e-12,3.65616e-16,4.715077339310188e-12,3.65616e-16,4.721233212471362e-12,3.65616e-16,4.722308471916846e-12,3.65616e-16,5.04042770803018e-12,3.65616e-16,5.656585695115291e-12,3.65616e-16,6.311489017691405e-12
1.89304e-15,4.632253791565666e-12,1.89304e-15,4.715077339310188e-12,1.89304e-15,4.721233212471362e-12,1.89304e-15,4.722308471916846e-12,1.89304e-15,5.04042770803018e-12,1.89304e-15,5.656585695115291e-12,1.89304e-15,6.311489017691405e-12
3.78609e-15,6.191533529228866e-12,3.78609e-15,6.150563772323304e-12,3.78609e-15,6.122869228855778e-12,3.78609e-15,6.174259091698366e-12,3.78609e-15,6.532323172850057e-12,3.78609e-15,7.173718787884842e-12,3.78609e-15,7.722804035609599e-12
7.57217e-15,1.12259998961043e-11,7.57217e-15,1.117258754146768e-11,7.57217e-15,1.122481849426131e-11,7.57217e-15,1.129674690521637e-11,7.57217e-15,1.147664811943373e-11,7.57217e-15,1.198949888716635e-11,7.57217e-15,1.280817515326736e-11
1.51443e-14,1.778111930063744e-11,1.51443e-14,1.786683950541529e-11,1.51443e-14,1.783640334707167e-11,1.51443e-14,1.789081130537618e-11,1.51443e-14,1.791688282476232e-11,1.51443e-14,1.836806976308947e-11,1.51443e-14,1.903626039943229e-11
3.02887e-14,3.147162729443735e-11,3.02887e-14,3.165580518366562e-11,3.02887e-14,3.167506344049227e-11,3.02887e-14,3.170075351906945e-11,3.02887e-14,3.163373207554058e-11,3.02887e-14,3.165549004044726e-11,3.02887e-14,3.227675197458565e-11
6.057739999999999e-14,6.092457369932666e-11,6.057739999999999e-14,5.996828381518627e-11,6.057739999999999e-14,6.029836090754123e-11,6.057739999999999e-14,6.028017730490685e-11,6.057739999999999e-14,6.076048736599451e-11,6.057739999999999e-14,6.025522072486081e-11,6.057739999999999e-14,6.034886320306932e-11
