tp_H (tf=1.17378e-12) X,tp_H (tf=1.17378e-12) Y,tp_H (tf=4.72397e-12) X,tp_H (tf=4.72397e-12) Y,tp_H (tf=1.71859e-11) X,tp_H (tf=1.71859e-11) Y,tp_H (tf=4.09838e-11) X,tp_H (tf=4.09838e-11) Y,tp_H (tf=7.80596e-11) X,tp_H (tf=7.80596e-11) Y,tp_H (tf=1.30081e-10) X,tp_H (tf=1.30081e-10) Y,tp_H (tf=1.98535e-10) X,tp_H (tf=1.98535e-10) Y
3.65616e-16,1.261636628268224e-11,3.65616e-16,1.27173833732734e-11,3.65616e-16,1.328567264162818e-11,3.65616e-16,1.36002711211422e-11,3.65616e-16,1.36204096200451e-11,3.65616e-16,1.341268351597525e-11,3.65616e-16,1.304065624481036e-11
1.89304e-15,1.261636628268224e-11,1.89304e-15,1.27173833732734e-11,1.89304e-15,1.328567264162818e-11,1.89304e-15,1.36002711211422e-11,1.89304e-15,1.36204096200451e-11,1.89304e-15,1.341268351597525e-11,1.89304e-15,1.304065624481036e-11
3.78609e-15,1.513020579761357e-11,3.78609e-15,1.525328336245823e-11,3.78609e-15,1.58350567462761e-11,3.78609e-15,1.634191230283898e-11,3.78609e-15,1.664500572013136e-11,3.78609e-15,1.698779863302994e-11,3.78609e-15,1.698786508133694e-11
7.57217e-15,2.406337868590591e-11,7.57217e-15,2.421006157174131e-11,7.57217e-15,2.482281430307443e-11,7.57217e-15,2.540352322006968e-11,7.57217e-15,2.646748921211708e-11,7.57217e-15,2.770337568352546e-11,7.57217e-15,2.889683403884284e-11
1.51443e-14,3.573181512251595e-11,1.51443e-14,3.58840194401958e-11,1.51443e-14,3.652639365613699e-11,1.51443e-14,3.703804097403874e-11,1.51443e-14,3.83105475253244e-11,1.51443e-14,4.018602242352845e-11,1.51443e-14,4.228940928588911e-11
3.02887e-14,5.897175105751153e-11,3.02887e-14,5.911835840594627e-11,3.02887e-14,5.983020113049353e-11,3.02887e-14,6.027918848621319e-11,3.02887e-14,6.122233418446411e-11,3.02887e-14,6.345226448440538e-11,3.02887e-14,6.647965647166782e-11
6.057739999999999e-14,1.052644876676105e-10,6.057739999999999e-14,1.054886505944196e-10,6.057739999999999e-14,1.062196564639309e-10,6.057739999999999e-14,1.066855805438265e-10,6.057739999999999e-14,1.074588125713102e-10,6.057739999999999e-14,1.090520449484316e-10,6.057739999999999e-14,1.119531544243281e-10
