t_F (tr=1.17378e-12) X,t_F (tr=1.17378e-12) Y,t_F (tr=4.72397e-12) X,t_F (tr=4.72397e-12) Y,t_F (tr=1.71859e-11) X,t_F (tr=1.71859e-11) Y,t_F (tr=4.09838e-11) X,t_F (tr=4.09838e-11) Y,t_F (tr=7.80596e-11) X,t_F (tr=7.80596e-11) Y,t_F (tr=1.30081e-10) X,t_F (tr=1.30081e-10) Y,t_F (tr=1.98535e-10) X,t_F (tr=1.98535e-10) Y
3.65616e-16,1.626171098785663e-12,3.65616e-16,1.615421768760159e-12,3.65616e-16,2.529261462353096e-12,3.65616e-16,4.18592867213823e-12,3.65616e-16,6.380097016595692e-12,3.65616e-16,8.97347680549562e-12,3.65616e-16,1.205493774740703e-11
1.89304e-15,1.626171098785663e-12,1.89304e-15,1.615421768760159e-12,1.89304e-15,2.529261462353096e-12,1.89304e-15,4.18592867213823e-12,1.89304e-15,6.380097016595692e-12,1.89304e-15,8.97347680549562e-12,1.89304e-15,1.205493774740703e-11
3.78609e-15,1.927427107873099e-12,3.78609e-15,1.92664383050422e-12,3.78609e-15,2.750772371185283e-12,3.78609e-15,4.481444689458385e-12,3.78609e-15,6.740120132293347e-12,3.78609e-15,9.433997717764444e-12,3.78609e-15,1.256300235721388e-11
7.57217e-15,3.093415726105342e-12,7.57217e-15,3.08074061607494e-12,7.57217e-15,3.61606204457765e-12,7.57217e-15,5.388806733737621e-12,7.57217e-15,8.018107761731822e-12,7.57217e-15,1.095045367111179e-11,7.57217e-15,1.437403204400822e-11
1.51443e-14,4.635708049924767e-12,1.51443e-14,4.628589373221116e-12,1.51443e-14,4.816681746251859e-12,1.51443e-14,6.829927313269202e-12,1.51443e-14,9.395797736254637e-12,1.51443e-14,1.273933887830366e-11,1.51443e-14,1.667492860956364e-11
3.02887e-14,7.921586921477662e-12,3.02887e-14,7.910217047321542e-12,3.02887e-14,7.779972646203131e-12,3.02887e-14,9.041894604894877e-12,3.02887e-14,1.185201996939211e-11,3.02887e-14,1.538964419197952e-11,3.02887e-14,1.973136168026914e-11
6.057739999999999e-14,1.428299789608929e-11,6.057739999999999e-14,1.432560975095625e-11,6.057739999999999e-14,1.415399922186226e-11,6.057739999999999e-14,1.422246310662434e-11,6.057739999999999e-14,1.694083749706603e-11,6.057739999999999e-14,2.07203944343306e-11,6.057739999999999e-14,2.565932865968938e-11
