tp_L (tf=1.17378e-12) X,tp_L (tf=1.17378e-12) Y,tp_L (tf=4.72397e-12) X,tp_L (tf=4.72397e-12) Y,tp_L (tf=1.71859e-11) X,tp_L (tf=1.71859e-11) Y,tp_L (tf=4.09838e-11) X,tp_L (tf=4.09838e-11) Y,tp_L (tf=7.80596e-11) X,tp_L (tf=7.80596e-11) Y,tp_L (tf=1.30081e-10) X,tp_L (tf=1.30081e-10) Y,tp_L (tf=1.98535e-10) X,tp_L (tf=1.98535e-10) Y
3.65616e-16,2.416469022427395e-11,3.65616e-16,2.4267841845087e-11,3.65616e-16,2.472000198419483e-11,3.65616e-16,2.572914055713465e-11,3.65616e-16,2.757894691582824e-11,3.65616e-16,2.992271963036851e-11,3.65616e-16,3.24328365671987e-11
1.89304e-15,2.416469022427395e-11,1.89304e-15,2.4267841845087e-11,1.89304e-15,2.472000198419483e-11,1.89304e-15,2.572914055713465e-11,1.89304e-15,2.757894691582824e-11,1.89304e-15,2.992271963036851e-11,1.89304e-15,3.24328365671987e-11
3.78609e-15,2.644835700725494e-11,3.78609e-15,2.656436886050555e-11,3.78609e-15,2.699692343554365e-11,3.78609e-15,2.796173049671454e-11,3.78609e-15,2.992180074053757e-11,3.78609e-15,3.230110534778214e-11,3.78609e-15,3.483187842067364e-11
7.57217e-15,3.37945786569977e-11,7.57217e-15,3.389216166280992e-11,7.57217e-15,3.434376458662045e-11,7.57217e-15,3.526820321229911e-11,7.57217e-15,3.728676659061946e-11,7.57217e-15,3.992056101805173e-11,7.57217e-15,4.273875338485389e-11
1.51443e-14,4.251869445237051e-11,1.51443e-14,4.26290971608713e-11,1.51443e-14,4.310710870577503e-11,1.51443e-14,4.396007471316224e-11,1.51443e-14,4.599459094020092e-11,1.51443e-14,4.8781036451597e-11,1.51443e-14,5.182424840232757e-11
3.02887e-14,5.896457812158998e-11,3.02887e-14,5.908133470521973e-11,3.02887e-14,5.961148111165872e-11,3.02887e-14,6.049718137240203e-11,3.02887e-14,6.248772854060388e-11,3.02887e-14,6.52788046181829e-11,3.02887e-14,6.848210476198697e-11
6.057739999999999e-14,9.158646369402115e-11,6.057739999999999e-14,9.169483583255631e-11,6.057739999999999e-14,9.231475301888201e-11,6.057739999999999e-14,9.318826324921081e-11,6.057739999999999e-14,9.502733172569907e-11,6.057739999999999e-14,9.793538316388961e-11,6.057739999999999e-14,1.009177552437624e-10
