t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,4.564364821875484e-12,3.65616e-16,4.546484396321424e-12,3.65616e-16,4.553733227460454e-12,3.65616e-16,4.599145548627935e-12,3.65616e-16,4.932097263038593e-12,3.65616e-16,5.606962987231723e-12,3.65616e-16,6.142208502520881e-12
1.89304e-15,4.564364821875484e-12,1.89304e-15,4.546484396321424e-12,1.89304e-15,4.553733227460454e-12,1.89304e-15,4.599145548627935e-12,1.89304e-15,4.932097263038593e-12,1.89304e-15,5.606962987231723e-12,1.89304e-15,6.142208502520881e-12
3.78609e-15,5.792477280642622e-12,3.78609e-15,5.785675908281644e-12,3.78609e-15,5.751235091301432e-12,3.78609e-15,5.757323654851465e-12,3.78609e-15,6.081313647232351e-12,3.78609e-15,6.651971632229243e-12,3.78609e-15,7.376236359334757e-12
7.57217e-15,9.966960377930364e-12,7.57217e-15,9.971936258907013e-12,7.57217e-15,9.936665550486217e-12,7.57217e-15,1.001981595156711e-11,7.57217e-15,1.015478034018444e-11,7.57217e-15,1.071309165315082e-11,7.57217e-15,1.152758606370769e-11
1.51443e-14,1.56943857143974e-11,1.51443e-14,1.575155338134493e-11,1.51443e-14,1.562703331346517e-11,1.51443e-14,1.57149576638028e-11,1.51443e-14,1.583293987979639e-11,1.51443e-14,1.606747163815885e-11,1.51443e-14,1.678711362328688e-11
3.02887e-14,2.774848354566656e-11,3.02887e-14,2.780770290542746e-11,3.02887e-14,2.766311537255822e-11,3.02887e-14,2.752332040462225e-11,3.02887e-14,2.781711991307449e-11,3.02887e-14,2.7745203995352e-11,3.02887e-14,2.799213809329455e-11
6.057739999999999e-14,5.296674851332221e-11,6.057739999999999e-14,5.29463908845838e-11,6.057739999999999e-14,5.299256320561984e-11,6.057739999999999e-14,5.299251110920748e-11,6.057739999999999e-14,5.291804432724836e-11,6.057739999999999e-14,5.278051694878522e-11,6.057739999999999e-14,5.216480871979622e-11
