t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,2.099214378347032e-12,3.65616e-16,2.10900226524796e-12,3.65616e-16,2.109958276367293e-12,3.65616e-16,2.509026842180363e-12,3.65616e-16,3.059114483635475e-12,3.65616e-16,3.757463075200112e-12,3.65616e-16,4.699498227395829e-12
1.89304e-15,2.099214378347032e-12,1.89304e-15,2.10900226524796e-12,1.89304e-15,2.109958276367293e-12,1.89304e-15,2.509026842180363e-12,1.89304e-15,3.059114483635475e-12,1.89304e-15,3.757463075200112e-12,1.89304e-15,4.699498227395829e-12
3.78609e-15,3.275299600873944e-12,3.78609e-15,3.275251184823057e-12,3.78609e-15,3.237430496309204e-12,3.78609e-15,3.519893608571008e-12,3.78609e-15,3.999254229541723e-12,3.78609e-15,4.650453538661412e-12,3.78609e-15,5.496916073681304e-12
7.57217e-15,7.432415744489795e-12,7.57217e-15,7.440531807295971e-12,7.57217e-15,7.457542663448051e-12,7.57217e-15,7.549373599780761e-12,7.57217e-15,7.884095274803793e-12,7.57217e-15,8.280604680240102e-12,7.57217e-15,9.031804715858078e-12
1.51443e-14,1.341516739068226e-11,1.51443e-14,1.339764299276283e-11,1.51443e-14,1.348935545140429e-11,1.51443e-14,1.358395821279329e-11,1.51443e-14,1.353811766563576e-11,1.51443e-14,1.37416136249647e-11,1.51443e-14,1.425648578812225e-11
3.02887e-14,2.609873597053431e-11,3.02887e-14,2.613417217857862e-11,3.02887e-14,2.619873345512484e-11,3.02887e-14,2.596479781583793e-11,3.02887e-14,2.584486104713675e-11,3.02887e-14,2.587982201059559e-11,3.02887e-14,2.622329037954346e-11
6.057739999999999e-14,5.1406343229877e-11,6.057739999999999e-14,5.142654868022778e-11,6.057739999999999e-14,5.141889661720795e-11,6.057739999999999e-14,5.089027838332515e-11,6.057739999999999e-14,5.126359924356938e-11,6.057739999999999e-14,5.085433698287111e-11,6.057739999999999e-14,5.057186126930015e-11
