tp_L (tf=1.17378e-12) X,tp_L (tf=1.17378e-12) Y,tp_L (tf=4.72397e-12) X,tp_L (tf=4.72397e-12) Y,tp_L (tf=1.71859e-11) X,tp_L (tf=1.71859e-11) Y,tp_L (tf=4.09838e-11) X,tp_L (tf=4.09838e-11) Y,tp_L (tf=7.80596e-11) X,tp_L (tf=7.80596e-11) Y,tp_L (tf=1.30081e-10) X,tp_L (tf=1.30081e-10) Y,tp_L (tf=1.98535e-10) X,tp_L (tf=1.98535e-10) Y
3.65616e-16,1.565433182573991e-11,3.65616e-16,1.576975503934989e-11,3.65616e-16,1.751110428425978e-11,3.65616e-16,2.136419117136826e-11,3.65616e-16,2.626819785942449e-11,3.65616e-16,3.187781763642601e-11,3.65616e-16,3.826230867275312e-11
1.89304e-15,1.565433182573991e-11,1.89304e-15,1.576975503934989e-11,1.89304e-15,1.751110428425978e-11,1.89304e-15,2.136419117136826e-11,1.89304e-15,2.626819785942449e-11,1.89304e-15,3.187781763642601e-11,1.89304e-15,3.826230867275312e-11
3.78609e-15,1.793196266662454e-11,3.78609e-15,1.808952901472745e-11,3.78609e-15,1.978701564738798e-11,3.78609e-15,2.360552769214316e-11,3.78609e-15,2.853924452834186e-11,3.78609e-15,3.431920594524288e-11,3.78609e-15,4.083017374865958e-11
7.57217e-15,2.485319615934723e-11,7.57217e-15,2.50565689000621e-11,7.57217e-15,2.672626655476638e-11,7.57217e-15,3.047275434377711e-11,7.57217e-15,3.5574333094025e-11,7.57217e-15,4.143672099667331e-11,7.57217e-15,4.824936398042677e-11
1.51443e-14,3.294827797709483e-11,1.51443e-14,3.317413584894096e-11,1.51443e-14,3.486603143386941e-11,1.51443e-14,3.857428996296018e-11,1.51443e-14,4.378871674917398e-11,1.51443e-14,4.963957230457171e-11,1.51443e-14,5.665828372218442e-11
3.02887e-14,4.846447998205282e-11,3.02887e-14,4.87141657799707e-11,3.02887e-14,5.041964898796707e-11,3.02887e-14,5.409900026479389e-11,3.02887e-14,5.932988219163687e-11,3.02887e-14,6.530103024103093e-11,3.02887e-14,7.228150939475607e-11
6.057739999999999e-14,7.943292484793743e-11,6.057739999999999e-14,7.970997435399791e-11,6.057739999999999e-14,8.131087126680348e-11,6.057739999999999e-14,8.511329943934871e-11,6.057739999999999e-14,9.024128948519468e-11,6.057739999999999e-14,9.607948080847031e-11,6.057739999999999e-14,1.030365606998958e-10
