tp_H (tr=1.17378e-12) X,tp_H (tr=1.17378e-12) Y,tp_H (tr=4.72397e-12) X,tp_H (tr=4.72397e-12) Y,tp_H (tr=1.71859e-11) X,tp_H (tr=1.71859e-11) Y,tp_H (tr=4.09838e-11) X,tp_H (tr=4.09838e-11) Y,tp_H (tr=7.80596e-11) X,tp_H (tr=7.80596e-11) Y,tp_H (tr=1.30081e-10) X,tp_H (tr=1.30081e-10) Y,tp_H (tr=1.98535e-10) X,tp_H (tr=1.98535e-10) Y
3.65616e-16,1.180197833507006e-11,3.65616e-16,1.226317023924014e-11,3.65616e-16,1.400059665952729e-11,3.65616e-16,1.648094556968213e-11,3.65616e-16,1.856671872155373e-11,3.65616e-16,2.008977239070364e-11,3.65616e-16,2.084833421756234e-11
1.89304e-15,1.180197833507006e-11,1.89304e-15,1.226317023924014e-11,1.89304e-15,1.400059665952729e-11,1.89304e-15,1.648094556968213e-11,1.89304e-15,1.856671872155373e-11,1.89304e-15,2.008977239070364e-11,1.89304e-15,2.084833421756234e-11
3.78609e-15,1.484282217530223e-11,3.78609e-15,1.528235485718731e-11,3.78609e-15,1.696494637108222e-11,3.78609e-15,1.940216116367236e-11,3.78609e-15,2.156679459367825e-11,3.78609e-15,2.310403650903263e-11,3.78609e-15,2.395411702409764e-11
7.57217e-15,2.537312305298761e-11,7.57217e-15,2.582356350179938e-11,7.57217e-15,2.740242892705312e-11,7.57217e-15,2.966953642288526e-11,7.57217e-15,3.171123794872944e-11,7.57217e-15,3.320417504370778e-11,7.57217e-15,3.408974233889178e-11
1.51443e-14,3.923424647764634e-11,1.51443e-14,3.974076815183908e-11,1.51443e-14,4.11812699305486e-11,1.51443e-14,4.343648149130873e-11,1.51443e-14,4.522254452259307e-11,1.51443e-14,4.664905730691971e-11,1.51443e-14,4.71832675009265e-11
3.02887e-14,6.690280247235892e-11,3.02887e-14,6.708770759104165e-11,3.02887e-14,6.920986984809856e-11,3.02887e-14,7.073644110417087e-11,3.02887e-14,7.24996913211036e-11,3.02887e-14,7.363676963743542e-11,3.02887e-14,7.426084804855333e-11
6.057739999999999e-14,1.216604665932346e-10,6.057739999999999e-14,1.225535893921818e-10,6.057739999999999e-14,1.242207705452892e-10,6.057739999999999e-14,1.267072157688844e-10,6.057739999999999e-14,1.286873953218353e-10,6.057739999999999e-14,1.284572044930412e-10,6.057739999999999e-14,1.283076415241905e-10
