t_R (tf=1.17378e-12) X,t_R (tf=1.17378e-12) Y,t_R (tf=4.72397e-12) X,t_R (tf=4.72397e-12) Y,t_R (tf=1.71859e-11) X,t_R (tf=1.71859e-11) Y,t_R (tf=4.09838e-11) X,t_R (tf=4.09838e-11) Y,t_R (tf=7.80596e-11) X,t_R (tf=7.80596e-11) Y,t_R (tf=1.30081e-10) X,t_R (tf=1.30081e-10) Y,t_R (tf=1.98535e-10) X,t_R (tf=1.98535e-10) Y
3.65616e-16,4.961913771905523e-12,3.65616e-16,4.932479512331727e-12,3.65616e-16,5.014090646508224e-12,3.65616e-16,6.391877713176184e-12,3.65616e-16,8.673381786958995e-12,3.65616e-16,1.153908920659071e-11,3.65616e-16,1.53413198239327e-11
1.89304e-15,4.961913771905523e-12,1.89304e-15,4.932479512331727e-12,1.89304e-15,5.014090646508224e-12,1.89304e-15,6.391877713176184e-12,1.89304e-15,8.673381786958995e-12,1.89304e-15,1.153908920659071e-11,1.89304e-15,1.53413198239327e-11
3.78609e-15,7.463619688058496e-12,3.78609e-15,7.469036427411525e-12,3.78609e-15,7.480924968656001e-12,3.78609e-15,8.581857967522935e-12,3.78609e-15,1.07632631443258e-11,3.78609e-15,1.392503078912675e-11,3.78609e-15,1.794675650044612e-11
7.57217e-15,1.685067955443599e-11,7.57217e-15,1.680402389668688e-11,7.57217e-15,1.682317764751783e-11,7.57217e-15,1.693424920593223e-11,7.57217e-15,1.858496361576106e-11,7.57217e-15,2.148725605845077e-11,7.57217e-15,2.562913229229128e-11
1.51443e-14,2.926019390247288e-11,1.51443e-14,2.925470553042197e-11,1.51443e-14,2.922520295366554e-11,1.51443e-14,2.927385005059888e-11,1.51443e-14,2.977909344133124e-11,1.51443e-14,3.202439702589797e-11,1.51443e-14,3.580046601223759e-11
3.02887e-14,5.391261047864322e-11,3.02887e-14,5.402742073553412e-11,3.02887e-14,5.392998272681862e-11,3.02887e-14,5.389457976423516e-11,3.02887e-14,5.407234900919885e-11,3.02887e-14,5.459403780347826e-11,3.02887e-14,5.700657223798452e-11
6.057739999999999e-14,1.032912329021076e-10,6.057739999999999e-14,1.032982884569081e-10,6.057739999999999e-14,1.036010562998785e-10,6.057739999999999e-14,1.03608461764638e-10,6.057739999999999e-14,1.033308989318226e-10,6.057739999999999e-14,1.035084570852272e-10,6.057739999999999e-14,1.036583326961888e-10
