t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,5.253483296785519e-12,3.65616e-16,5.284112219424232e-12,3.65616e-16,5.299366298645204e-12,3.65616e-16,5.322475470244005e-12,3.65616e-16,5.22979217672878e-12,3.65616e-16,5.385410321714638e-12,3.65616e-16,5.981627871234808e-12
1.89304e-15,5.253483296785519e-12,1.89304e-15,5.284112219424232e-12,1.89304e-15,5.299366298645204e-12,1.89304e-15,5.322475470244005e-12,1.89304e-15,5.22979217672878e-12,1.89304e-15,5.385410321714638e-12,1.89304e-15,5.981627871234808e-12
3.78609e-15,7.716771076676706e-12,3.78609e-15,7.700553580085646e-12,3.78609e-15,7.726344663459492e-12,3.78609e-15,7.748223893605284e-12,3.78609e-15,7.579050389882827e-12,3.78609e-15,7.74045508192048e-12,3.78609e-15,8.205949894695505e-12
7.57217e-15,1.69532633022934e-11,7.57217e-15,1.689217642985739e-11,7.57217e-15,1.692880584903507e-11,7.57217e-15,1.695942446388381e-11,7.57217e-15,1.660133288668864e-11,7.57217e-15,1.643585891949669e-11,7.57217e-15,1.646200624363878e-11
1.51443e-14,2.941089054574212e-11,1.51443e-14,2.93802275461071e-11,1.51443e-14,2.931154625818024e-11,1.51443e-14,2.937740846301297e-11,1.51443e-14,2.919721464046133e-11,1.51443e-14,2.881870932927806e-11,1.51443e-14,2.855074896376352e-11
3.02887e-14,5.425966635299985e-11,3.02887e-14,5.41368041068473e-11,3.02887e-14,5.41132897232015e-11,3.02887e-14,5.426544406564356e-11,3.02887e-14,5.414071228740408e-11,3.02887e-14,5.3610066805651e-11,3.02887e-14,5.3493079656204e-11
6.057739999999999e-14,1.036019234409299e-10,6.057739999999999e-14,1.036936421919704e-10,6.057739999999999e-14,1.038020412496188e-10,6.057739999999999e-14,1.039961931396169e-10,6.057739999999999e-14,1.032402080053657e-10,6.057739999999999e-14,1.034991419476073e-10,6.057739999999999e-14,1.033735268799802e-10
