t_F (tr=1.17378e-12) X,t_F (tr=1.17378e-12) Y,t_F (tr=4.72397e-12) X,t_F (tr=4.72397e-12) Y,t_F (tr=1.71859e-11) X,t_F (tr=1.71859e-11) Y,t_F (tr=4.09838e-11) X,t_F (tr=4.09838e-11) Y,t_F (tr=7.80596e-11) X,t_F (tr=7.80596e-11) Y,t_F (tr=1.30081e-10) X,t_F (tr=1.30081e-10) Y,t_F (tr=1.98535e-10) X,t_F (tr=1.98535e-10) Y
3.65616e-16,5.77230739061142e-12,3.65616e-16,5.787178480199538e-12,3.65616e-16,5.812556008189789e-12,3.65616e-16,7.044766970035316e-12,3.65616e-16,9.195628017215904e-12,3.65616e-16,1.222647845977378e-11,3.65616e-16,1.598085420011057e-11
1.89304e-15,5.77230739061142e-12,1.89304e-15,5.787178480199538e-12,1.89304e-15,5.812556008189789e-12,1.89304e-15,7.044766970035316e-12,1.89304e-15,9.195628017215904e-12,1.89304e-15,1.222647845977378e-11,1.89304e-15,1.598085420011057e-11
3.78609e-15,8.186225177931768e-12,3.78609e-15,8.178637616634293e-12,3.78609e-15,8.137480511485897e-12,3.78609e-15,9.081818692492059e-12,3.78609e-15,1.104626747380208e-11,3.78609e-15,1.417276244125869e-11,3.78609e-15,1.808240218905515e-11
7.57217e-15,1.704146843909935e-11,7.57217e-15,1.706501081094597e-11,7.57217e-15,1.702916806830028e-11,7.57217e-15,1.719128458286073e-11,7.57217e-15,1.869682763487883e-11,7.57217e-15,2.145567789390262e-11,7.57217e-15,2.529878063546703e-11
1.51443e-14,2.892310386239522e-11,1.51443e-14,2.887945808354397e-11,1.51443e-14,2.888743368091848e-11,1.51443e-14,2.893777965027218e-11,1.51443e-14,2.948590153593343e-11,1.51443e-14,3.158192719639884e-11,1.51443e-14,3.494783092561887e-11
3.02887e-14,5.269061386358819e-11,3.02887e-14,5.293138155210443e-11,3.02887e-14,5.284050463759248e-11,3.02887e-14,5.274354057840456e-11,3.02887e-14,5.292625404536193e-11,3.02887e-14,5.329125835265599e-11,3.02887e-14,5.561461333155381e-11
6.057739999999999e-14,1.008085414262298e-10,6.057739999999999e-14,1.008018224370376e-10,6.057739999999999e-14,1.007500822997639e-10,6.057739999999999e-14,1.005974683715411e-10,6.057739999999999e-14,1.001822547407214e-10,6.057739999999999e-14,1.001742142272619e-10,6.057739999999999e-14,1.007916311012101e-10
