t_R (tf=1.17378e-12) X,t_R (tf=1.17378e-12) Y,t_R (tf=4.72397e-12) X,t_R (tf=4.72397e-12) Y,t_R (tf=1.71859e-11) X,t_R (tf=1.71859e-11) Y,t_R (tf=4.09838e-11) X,t_R (tf=4.09838e-11) Y,t_R (tf=7.80596e-11) X,t_R (tf=7.80596e-11) Y,t_R (tf=1.30081e-10) X,t_R (tf=1.30081e-10) Y,t_R (tf=1.98535e-10) X,t_R (tf=1.98535e-10) Y
3.65616e-16,2.915068457817687e-12,3.65616e-16,2.933220876002448e-12,3.65616e-16,3.405411814367855e-12,3.65616e-16,4.814001428578286e-12,3.65616e-16,7.497503860659804e-12,3.65616e-16,1.087291147199263e-11,3.65616e-16,1.457377981186001e-11
1.89304e-15,2.915068457817687e-12,1.89304e-15,2.933220876002448e-12,1.89304e-15,3.405411814367855e-12,1.89304e-15,4.814001428578286e-12,1.89304e-15,7.497503860659804e-12,1.89304e-15,1.087291147199263e-11,1.89304e-15,1.457377981186001e-11
3.78609e-15,4.966903713026908e-12,3.78609e-15,4.945726594601097e-12,3.78609e-15,5.114223060868096e-12,3.78609e-15,6.526853393328351e-12,3.78609e-15,9.220325549838322e-12,3.78609e-15,1.269703456057963e-11,3.78609e-15,1.699507145911352e-11
7.57217e-15,1.243283674676686e-11,7.57217e-15,1.247185366813018e-11,7.57217e-15,1.245054198151883e-11,7.57217e-15,1.295181809937292e-11,7.57217e-15,1.506920649620771e-11,7.57217e-15,1.8609947880299e-11,7.57217e-15,2.319024304176318e-11
1.51443e-14,2.252889003491709e-11,1.51443e-14,2.257088355995917e-11,1.51443e-14,2.252664098453378e-11,1.51443e-14,2.258122679042139e-11,1.51443e-14,2.360206350407633e-11,1.51443e-14,2.65620653361827e-11,1.51443e-14,3.108586453825892e-11
3.02887e-14,4.280201506713675e-11,3.02887e-14,4.264298008958677e-11,3.02887e-14,4.281183829903181e-11,3.02887e-14,4.269774440342292e-11,3.02887e-14,4.277563925436755e-11,3.02887e-14,4.401431216967624e-11,3.02887e-14,4.746706754900513e-11
6.057739999999999e-14,8.28374892282598e-11,6.057739999999999e-14,8.313716814832414e-11,6.057739999999999e-14,8.270448389454358e-11,6.057739999999999e-14,8.308384351312977e-11,6.057739999999999e-14,8.316537024712526e-11,6.057739999999999e-14,8.278613225511666e-11,6.057739999999999e-14,8.420494682957481e-11
