t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,4.105223714267158e-12,3.65616e-16,4.172664278805655e-12,3.65616e-16,4.166272959313814e-12,3.65616e-16,4.239729664301191e-12,3.65616e-16,4.787679551333057e-12,3.65616e-16,5.418946051151807e-12,3.65616e-16,6.373373858920568e-12
1.89304e-15,4.105223714267158e-12,1.89304e-15,4.172664278805655e-12,1.89304e-15,4.166272959313814e-12,1.89304e-15,4.239729664301191e-12,1.89304e-15,4.787679551333057e-12,1.89304e-15,5.418946051151807e-12,1.89304e-15,6.373373858920568e-12
3.78609e-15,5.30285091041966e-12,3.78609e-15,5.385857775070848e-12,3.78609e-15,5.311085727054618e-12,3.78609e-15,5.38119930796835e-12,3.78609e-15,5.921759944911256e-12,3.78609e-15,6.531214567850448e-12,3.78609e-15,7.428493787040093e-12
7.57217e-15,9.594363094588359e-12,7.57217e-15,9.528832998163972e-12,7.57217e-15,9.517009544866993e-12,7.57217e-15,9.561776381665408e-12,7.57217e-15,9.941278546657502e-12,7.57217e-15,1.057299110089552e-11,7.57217e-15,1.160383517447825e-11
1.51443e-14,1.492840692130728e-11,1.51443e-14,1.496886910995225e-11,1.51443e-14,1.504840654153246e-11,1.51443e-14,1.502346498121517e-11,1.51443e-14,1.533434055793576e-11,1.51443e-14,1.5668279305081e-11,1.51443e-14,1.653280945075197e-11
3.02887e-14,2.626847215964365e-11,3.02887e-14,2.627600474790203e-11,3.02887e-14,2.632182208310714e-11,3.02887e-14,2.621726119020271e-11,3.02887e-14,2.642506474110658e-11,3.02887e-14,2.655791134254565e-11,3.02887e-14,2.714366990402695e-11
6.057739999999999e-14,5.008298181858774e-11,6.057739999999999e-14,4.998127702984816e-11,6.057739999999999e-14,4.958337421781075e-11,6.057739999999999e-14,4.999845668842491e-11,6.057739999999999e-14,5.01182488572766e-11,6.057739999999999e-14,5.001160798757729e-11,6.057739999999999e-14,4.996620772898729e-11
