tp_H (tr=1.17378e-12) X,tp_H (tr=1.17378e-12) Y,tp_H (tr=4.72397e-12) X,tp_H (tr=4.72397e-12) Y,tp_H (tr=1.71859e-11) X,tp_H (tr=1.71859e-11) Y,tp_H (tr=4.09838e-11) X,tp_H (tr=4.09838e-11) Y,tp_H (tr=7.80596e-11) X,tp_H (tr=7.80596e-11) Y,tp_H (tr=1.30081e-10) X,tp_H (tr=1.30081e-10) Y,tp_H (tr=1.98535e-10) X,tp_H (tr=1.98535e-10) Y
3.65616e-16,1.850266731859235e-11,3.65616e-16,1.884136445382041e-11,3.65616e-16,2.081799999725401e-11,3.65616e-16,2.563437002259115e-11,3.65616e-16,3.234639386789841e-11,3.65616e-16,4.068119046173764e-11,3.65616e-16,5.061179690519477e-11
1.89304e-15,1.850266731859235e-11,1.89304e-15,1.884136445382041e-11,1.89304e-15,2.081799999725401e-11,1.89304e-15,2.563437002259115e-11,1.89304e-15,3.234639386789841e-11,1.89304e-15,4.068119046173764e-11,1.89304e-15,5.061179690519477e-11
3.78609e-15,2.057446529983971e-11,3.78609e-15,2.088378887728171e-11,3.78609e-15,2.291918851366094e-11,3.78609e-15,2.767277731165594e-11,3.78609e-15,3.440367974223781e-11,3.78609e-15,4.287956616796664e-11,3.78609e-15,5.289909449591379e-11
7.57217e-15,2.710406743441035e-11,7.57217e-15,2.742821444636616e-11,7.57217e-15,2.941180632640699e-11,7.57217e-15,3.407949475974571e-11,7.57217e-15,4.084406095661309e-11,7.57217e-15,4.931153941551643e-11,7.57217e-15,5.952891609922371e-11
1.51443e-14,3.466609718146568e-11,1.51443e-14,3.500796329363534e-11,1.51443e-14,3.69647294999989e-11,1.51443e-14,4.160750563844957e-11,1.51443e-14,4.840452019329524e-11,1.51443e-14,5.692197838619575e-11,1.51443e-14,6.730765664159985e-11
3.02887e-14,4.868094088277456e-11,3.02887e-14,4.903079961370917e-11,3.02887e-14,5.100205412866413e-11,3.02887e-14,5.559072714994871e-11,3.02887e-14,6.239063275826215e-11,3.02887e-14,7.097672012904503e-11,3.02887e-14,8.137714445523161e-11
6.057739999999999e-14,7.599971255202782e-11,6.057739999999999e-14,7.634190156998923e-11,6.057739999999999e-14,7.835973676960373e-11,6.057739999999999e-14,8.288426192839037e-11,6.057739999999999e-14,8.960695287970331e-11,6.057739999999999e-14,9.793448688685824e-11,6.057739999999999e-14,1.084180413536844e-10
