t_R (tf=1.17378e-12) X,t_R (tf=1.17378e-12) Y,t_R (tf=4.72397e-12) X,t_R (tf=4.72397e-12) Y,t_R (tf=1.71859e-11) X,t_R (tf=1.71859e-11) Y,t_R (tf=4.09838e-11) X,t_R (tf=4.09838e-11) Y,t_R (tf=7.80596e-11) X,t_R (tf=7.80596e-11) Y,t_R (tf=1.30081e-10) X,t_R (tf=1.30081e-10) Y,t_R (tf=1.98535e-10) X,t_R (tf=1.98535e-10) Y
3.65616e-16,9.272822775522716e-13,3.65616e-16,1.102347600749244e-12,3.65616e-16,2.233971367269588e-12,3.65616e-16,3.799334228489017e-12,3.65616e-16,5.996468984119195e-12,3.65616e-16,8.5434256118348e-12,3.65616e-16,1.186700526460358e-11
1.89304e-15,9.272822775522716e-13,1.89304e-15,1.102347600749244e-12,1.89304e-15,2.233971367269588e-12,1.89304e-15,3.799334228489017e-12,1.89304e-15,5.996468984119195e-12,1.89304e-15,8.5434256118348e-12,1.89304e-15,1.186700526460358e-11
3.78609e-15,1.236287620335902e-12,3.78609e-15,1.319178224763512e-12,3.78609e-15,2.553015572981854e-12,3.78609e-15,4.222080552858956e-12,3.78609e-15,6.520571451233325e-12,3.78609e-15,9.151295053776453e-12,3.78609e-15,1.2631800455659e-11
7.57217e-15,2.34976549439529e-12,7.57217e-15,2.361483287904337e-12,7.57217e-15,3.471136253573999e-12,7.57217e-15,5.427092786198779e-12,7.57217e-15,8.086548452652223e-12,7.57217e-15,1.099336166295838e-11,7.57217e-15,1.485409318467061e-11
1.51443e-14,3.846093853042342e-12,1.51443e-14,3.856627692281592e-12,1.51443e-14,4.546857267085441e-12,1.51443e-14,6.900831579597977e-12,1.51443e-14,1.010844405964586e-11,1.51443e-14,1.343109843679239e-11,1.51443e-14,1.757995951527845e-11
3.02887e-14,6.850968490862544e-12,3.02887e-14,6.854369234374921e-12,3.02887e-14,6.978248689405288e-12,3.02887e-14,9.384210419751314e-12,3.02887e-14,1.261777324911674e-11,3.02887e-14,1.727661528037502e-11,3.02887e-14,2.13729631694743e-11
6.057739999999999e-14,1.280195920027045e-11,6.057739999999999e-14,1.276119984633614e-11,6.057739999999999e-14,1.278405960240191e-11,6.057739999999999e-14,1.35312906667264e-11,6.057739999999999e-14,1.771755187910026e-11,6.057739999999999e-14,2.204098123262513e-11,6.057739999999999e-14,2.838688394580693e-11
