tp_L (tr=1.17378e-12) X,tp_L (tr=1.17378e-12) Y,tp_L (tr=4.72397e-12) X,tp_L (tr=4.72397e-12) Y,tp_L (tr=1.71859e-11) X,tp_L (tr=1.71859e-11) Y,tp_L (tr=4.09838e-11) X,tp_L (tr=4.09838e-11) Y,tp_L (tr=7.80596e-11) X,tp_L (tr=7.80596e-11) Y,tp_L (tr=1.30081e-10) X,tp_L (tr=1.30081e-10) Y,tp_L (tr=1.98535e-10) X,tp_L (tr=1.98535e-10) Y
3.65616e-16,3.96123214537867e-12,3.65616e-16,4.317356811453608e-12,3.65616e-16,5.671589698671818e-12,3.65616e-16,7.085149980444339e-12,3.65616e-16,8.236307652657481e-12,3.65616e-16,9.201560298467548e-12,3.65616e-16,9.967038367632166e-12
1.89304e-15,3.96123214537867e-12,1.89304e-15,4.317356811453608e-12,1.89304e-15,5.671589698671818e-12,1.89304e-15,7.085149980444339e-12,1.89304e-15,8.236307652657481e-12,1.89304e-15,9.201560298467548e-12,1.89304e-15,9.967038367632166e-12
3.78609e-15,4.395383198601104e-12,3.78609e-15,4.749563193359965e-12,3.78609e-15,6.207365222362975e-12,3.78609e-15,7.707825172790246e-12,3.78609e-15,9.177540612915013e-12,3.78609e-15,1.028350580301898e-11,3.78609e-15,1.121912019252242e-11
7.57217e-15,5.963533740433642e-12,7.57217e-15,6.299575070131518e-12,7.57217e-15,8.019920102306853e-12,7.57217e-15,1.013545668953349e-11,7.57217e-15,1.204716906088567e-11,7.57217e-15,1.393437660108311e-11,7.57217e-15,1.534203229937595e-11
1.51443e-14,7.956843407808899e-12,1.51443e-14,8.312827037107528e-12,1.51443e-14,1.008514094436446e-11,1.51443e-14,1.283409160005693e-11,1.51443e-14,1.535664724095513e-11,1.51443e-14,1.77099017623012e-11,1.51443e-14,1.987350270015498e-11
3.02887e-14,1.196114987487328e-11,3.02887e-14,1.233148029767144e-11,3.02887e-14,1.39596162896672e-11,3.02887e-14,1.753318746150886e-11,3.02887e-14,2.110642218068493e-11,3.02887e-14,2.459187436030505e-11,3.02887e-14,2.790147996581722e-11
6.057739999999999e-14,1.972626710317668e-11,6.057739999999999e-14,2.025930473542372e-11,6.057739999999999e-14,2.179000873811161e-11,6.057739999999999e-14,2.538316933321742e-11,6.057739999999999e-14,3.087875103276461e-11,6.057739999999999e-14,3.60616372904106e-11,6.057739999999999e-14,4.075558212767244e-11
