tp_H (tf=1.17378e-12) X,tp_H (tf=1.17378e-12) Y,tp_H (tf=4.72397e-12) X,tp_H (tf=4.72397e-12) Y,tp_H (tf=1.71859e-11) X,tp_H (tf=1.71859e-11) Y,tp_H (tf=4.09838e-11) X,tp_H (tf=4.09838e-11) Y,tp_H (tf=7.80596e-11) X,tp_H (tf=7.80596e-11) Y,tp_H (tf=1.30081e-10) X,tp_H (tf=1.30081e-10) Y,tp_H (tf=1.98535e-10) X,tp_H (tf=1.98535e-10) Y
3.65616e-16,3.989478167687268e-12,3.65616e-16,4.367469911618808e-12,3.65616e-16,5.837948341166024e-12,3.65616e-16,7.523567500567871e-12,3.65616e-16,9.231372658783565e-12,3.65616e-16,1.085932720820775e-11,3.65616e-16,1.246100092543818e-11
1.89304e-15,3.989478167687268e-12,1.89304e-15,4.367469911618808e-12,1.89304e-15,5.837948341166024e-12,1.89304e-15,7.523567500567871e-12,1.89304e-15,9.231372658783565e-12,1.89304e-15,1.085932720820775e-11,1.89304e-15,1.246100092543818e-11
3.78609e-15,4.440101752550116e-12,3.78609e-15,4.810935038280508e-12,3.78609e-15,6.405324550042636e-12,3.78609e-15,8.183396816611661e-12,3.78609e-15,1.010479844186477e-11,3.78609e-15,1.191364541467331e-11,3.78609e-15,1.380846738335639e-11
7.57217e-15,6.058204755815915e-12,7.57217e-15,6.402024679958571e-12,7.57217e-15,8.275144489142435e-12,7.57217e-15,1.05777033274683e-11,7.57217e-15,1.303359567781485e-11,7.57217e-15,1.557837803073761e-11,7.57217e-15,1.803612070990311e-11
1.51443e-14,8.12177635621009e-12,1.51443e-14,8.460411387158888e-12,1.51443e-14,1.037322355044045e-11,1.51443e-14,1.333858528725468e-11,1.51443e-14,1.630680502831858e-11,1.51443e-14,1.94993018406493e-11,1.51443e-14,2.282577993432251e-11
3.02887e-14,1.223140250598141e-11,3.02887e-14,1.254247861818809e-11,3.02887e-14,1.43614369281206e-11,3.02887e-14,1.815720345039306e-11,3.02887e-14,2.218116086586683e-11,3.02887e-14,2.633505816649922e-11,3.02887e-14,3.04224793235998e-11
6.057739999999999e-14,2.027793837395625e-11,6.057739999999999e-14,2.066186899678632e-11,6.057739999999999e-14,2.24217232223369e-11,6.057739999999999e-14,2.617189668742941e-11,6.057739999999999e-14,3.202327190541834e-11,6.057739999999999e-14,3.769794454343418e-11,6.057739999999999e-14,4.371398225302864e-11
