tp_H (tr=1.17378e-12) X,tp_H (tr=1.17378e-12) Y,tp_H (tr=4.72397e-12) X,tp_H (tr=4.72397e-12) Y,tp_H (tr=1.71859e-11) X,tp_H (tr=1.71859e-11) Y,tp_H (tr=4.09838e-11) X,tp_H (tr=4.09838e-11) Y,tp_H (tr=7.80596e-11) X,tp_H (tr=7.80596e-11) Y,tp_H (tr=1.30081e-10) X,tp_H (tr=1.30081e-10) Y,tp_H (tr=1.98535e-10) X,tp_H (tr=1.98535e-10) Y
3.65616e-16,2.020775952081058e-11,3.65616e-16,2.062364872855336e-11,3.65616e-16,2.221012578007662e-11,3.65616e-16,2.484891251717099e-11,3.65616e-16,2.759825601292915e-11,3.65616e-16,2.967436079264674e-11,3.65616e-16,3.123519801512219e-11
1.89304e-15,2.020775952081058e-11,1.89304e-15,2.062364872855336e-11,1.89304e-15,2.221012578007662e-11,1.89304e-15,2.484891251717099e-11,1.89304e-15,2.759825601292915e-11,1.89304e-15,2.967436079264674e-11,1.89304e-15,3.123519801512219e-11
3.78609e-15,2.309493088141963e-11,3.78609e-15,2.352765038308611e-11,3.78609e-15,2.509687125070173e-11,3.78609e-15,2.777691993263455e-11,3.78609e-15,3.055700325941057e-11,3.78609e-15,3.273495923969563e-11,3.78609e-15,3.433529590782832e-11
7.57217e-15,3.336180614900242e-11,7.57217e-15,3.381580910408608e-11,7.57217e-15,3.542050717433137e-11,7.57217e-15,3.806211446576723e-11,7.57217e-15,4.067292173014848e-11,7.57217e-15,4.305696328466879e-11,7.57217e-15,4.481505829397908e-11
1.51443e-14,4.699006031904914e-11,1.51443e-14,4.741008191222163e-11,1.51443e-14,4.908248401206127e-11,1.51443e-14,5.169292239711576e-11,1.51443e-14,5.423849076001476e-11,1.51443e-14,5.650606597203678e-11,1.51443e-14,5.829224411180411e-11
3.02887e-14,7.43030783184162e-11,3.02887e-14,7.488758295778685e-11,3.02887e-14,7.668537002465073e-11,3.02887e-14,7.932012117970914e-11,3.02887e-14,8.16130968108625e-11,3.02887e-14,8.356297034586517e-11,3.02887e-14,8.538924211576654e-11
6.057739999999999e-14,1.295439049717191e-10,6.057739999999999e-14,1.301275711256278e-10,6.057739999999999e-14,1.318232241965181e-10,6.057739999999999e-14,1.344353247400274e-10,6.057739999999999e-14,1.367292247618113e-10,6.057739999999999e-14,1.384622132984963e-10,6.057739999999999e-14,1.398507588584512e-10
