t_F (tr=1.17378e-12) X,t_F (tr=1.17378e-12) Y,t_F (tr=4.72397e-12) X,t_F (tr=4.72397e-12) Y,t_F (tr=1.71859e-11) X,t_F (tr=1.71859e-11) Y,t_F (tr=4.09838e-11) X,t_F (tr=4.09838e-11) Y,t_F (tr=7.80596e-11) X,t_F (tr=7.80596e-11) Y,t_F (tr=1.30081e-10) X,t_F (tr=1.30081e-10) Y,t_F (tr=1.98535e-10) X,t_F (tr=1.98535e-10) Y
3.65616e-16,8.731772674576601e-12,3.65616e-16,8.706449391222546e-12,3.65616e-16,8.530416508092059e-12,3.65616e-16,9.879250810591269e-12,3.65616e-16,1.277877879692304e-11,3.65616e-16,1.604935912187214e-11,3.65616e-16,2.041221272944441e-11
1.89304e-15,8.731772674576601e-12,1.89304e-15,8.706449391222546e-12,1.89304e-15,8.530416508092059e-12,1.89304e-15,9.879250810591269e-12,1.89304e-15,1.277877879692304e-11,1.89304e-15,1.604935912187214e-11,1.89304e-15,2.041221272944441e-11
3.78609e-15,1.109191731314075e-11,3.78609e-15,1.114876025586781e-11,3.78609e-15,1.112179893402537e-11,3.78609e-15,1.187417667969101e-11,3.78609e-15,1.491647024710685e-11,3.78609e-15,1.869824013735333e-11,3.78609e-15,2.270207092107471e-11
7.57217e-15,1.996567655943823e-11,7.57217e-15,2.003264888135791e-11,7.57217e-15,2.001411387247963e-11,7.57217e-15,1.998532658545209e-11,7.57217e-15,2.183878788860055e-11,7.57217e-15,2.618320931248446e-11,7.57217e-15,3.125203328717157e-11
1.51443e-14,3.191694192439742e-11,1.51443e-14,3.191063624975315e-11,1.51443e-14,3.186096338100395e-11,1.51443e-14,3.18752650086997e-11,1.51443e-14,3.224809056553243e-11,1.51443e-14,3.557081447472865e-11,1.51443e-14,4.115544025567571e-11
3.02887e-14,5.597350314462502e-11,3.02887e-14,5.598016077729133e-11,3.02887e-14,5.59695963111667e-11,3.02887e-14,5.593176222996151e-11,3.02887e-14,5.569024933059739e-11,3.02887e-14,5.644111457683825e-11,3.02887e-14,6.014709274748992e-11
6.057739999999999e-14,1.040196960552973e-10,6.057739999999999e-14,1.037039097478689e-10,6.057739999999999e-14,1.04009752836096e-10,6.057739999999999e-14,1.040096598024476e-10,6.057739999999999e-14,1.039938493313189e-10,6.057739999999999e-14,1.039048814177899e-10,6.057739999999999e-14,1.036975380824819e-10
