t_R (tr=1.17378e-12) X,t_R (tr=1.17378e-12) Y,t_R (tr=4.72397e-12) X,t_R (tr=4.72397e-12) Y,t_R (tr=1.71859e-11) X,t_R (tr=1.71859e-11) Y,t_R (tr=4.09838e-11) X,t_R (tr=4.09838e-11) Y,t_R (tr=7.80596e-11) X,t_R (tr=7.80596e-11) Y,t_R (tr=1.30081e-10) X,t_R (tr=1.30081e-10) Y,t_R (tr=1.98535e-10) X,t_R (tr=1.98535e-10) Y
3.65616e-16,7.644999701762473e-12,3.65616e-16,7.622711651049306e-12,3.65616e-16,7.637349083005691e-12,3.65616e-16,7.765458075024847e-12,3.65616e-16,7.545207959700616e-12,3.65616e-16,7.731290908739125e-12,3.65616e-16,8.091026812309694e-12
1.89304e-15,7.644999701762473e-12,1.89304e-15,7.622711651049306e-12,1.89304e-15,7.637349083005691e-12,1.89304e-15,7.765458075024847e-12,1.89304e-15,7.545207959700616e-12,1.89304e-15,7.731290908739125e-12,1.89304e-15,8.091026812309694e-12
3.78609e-15,1.005900072214588e-11,3.78609e-15,1.010648480873412e-11,3.78609e-15,1.009107348931739e-11,3.78609e-15,1.017593745899687e-11,3.78609e-15,9.913755778799889e-12,3.78609e-15,1.009984189393741e-11,3.78609e-15,1.045123689013802e-11
7.57217e-15,1.933812659217421e-11,7.57217e-15,1.936916245259105e-11,7.57217e-15,1.939695551488221e-11,7.57217e-15,1.939549960082825e-11,7.57217e-15,1.926876905423221e-11,7.57217e-15,1.889582542613187e-11,7.57217e-15,1.89624908060385e-11
1.51443e-14,3.190422689433592e-11,1.51443e-14,3.190763016380531e-11,1.51443e-14,3.193956241418933e-11,1.51443e-14,3.187807054485272e-11,1.51443e-14,3.187369441636687e-11,1.51443e-14,3.140355745865639e-11,1.51443e-14,3.127508024770319e-11
3.02887e-14,5.71250439298866e-11,3.02887e-14,5.707265444018883e-11,3.02887e-14,5.686764498931487e-11,3.02887e-14,5.67052210499572e-11,3.02887e-14,5.692677573224662e-11,3.02887e-14,5.658267649989972e-11,3.02887e-14,5.624102584367332e-11
6.057739999999999e-14,1.070922181412055e-10,6.057739999999999e-14,1.067330450281662e-10,6.057739999999999e-14,1.06581038982522e-10,6.057739999999999e-14,1.065294824659519e-10,6.057739999999999e-14,1.064885880199992e-10,6.057739999999999e-14,1.068576244334115e-10,6.057739999999999e-14,1.063952449631857e-10
