t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,5.413098543331675e-12,3.65616e-16,5.345615046350854e-12,3.65616e-16,5.410387746034745e-12,3.65616e-16,5.384843257040504e-12,3.65616e-16,5.89627636110895e-12,3.65616e-16,6.489661111356631e-12,3.65616e-16,7.32241871528879e-12
1.89304e-15,5.413098543331675e-12,1.89304e-15,5.345615046350854e-12,1.89304e-15,5.410387746034745e-12,1.89304e-15,5.384843257040504e-12,1.89304e-15,5.89627636110895e-12,1.89304e-15,6.489661111356631e-12,1.89304e-15,7.32241871528879e-12
3.78609e-15,6.745134046470591e-12,3.78609e-15,6.751439556939737e-12,3.78609e-15,6.75234384005642e-12,3.78609e-15,6.799358046023266e-12,3.78609e-15,7.17598077399109e-12,3.78609e-15,7.713716204771473e-12,3.78609e-15,8.535724171411459e-12
7.57217e-15,1.150653178958348e-11,7.57217e-15,1.14789357197844e-11,7.57217e-15,1.145661165520399e-11,7.57217e-15,1.147240320436628e-11,7.57217e-15,1.166619746405434e-11,7.57217e-15,1.232484901850441e-11,7.57217e-15,1.315643076659749e-11
1.51443e-14,1.783129595942757e-11,1.51443e-14,1.782383685712229e-11,1.51443e-14,1.77980959237655e-11,1.51443e-14,1.774833956295821e-11,1.51443e-14,1.800855155194714e-11,1.51443e-14,1.828149825634062e-11,1.51443e-14,1.900722608097892e-11
3.02887e-14,3.104300085063207e-11,3.02887e-14,3.09904271551391e-11,3.02887e-14,3.099443434413399e-11,3.02887e-14,3.107216008443786e-11,3.02887e-14,3.110368025496093e-11,3.02887e-14,3.110144869629436e-11,3.02887e-14,3.148556493537843e-11
6.057739999999999e-14,5.861302205523061e-11,6.057739999999999e-14,5.802190930196689e-11,6.057739999999999e-14,5.881569637856511e-11,6.057739999999999e-14,5.868950411009935e-11,6.057739999999999e-14,5.818314845374556e-11,6.057739999999999e-14,5.81761166521461e-11,6.057739999999999e-14,5.842877184310345e-11
