tp_H (tr=1.17378e-12) X,tp_H (tr=1.17378e-12) Y,tp_H (tr=4.72397e-12) X,tp_H (tr=4.72397e-12) Y,tp_H (tr=1.71859e-11) X,tp_H (tr=1.71859e-11) Y,tp_H (tr=4.09838e-11) X,tp_H (tr=4.09838e-11) Y,tp_H (tr=7.80596e-11) X,tp_H (tr=7.80596e-11) Y,tp_H (tr=1.30081e-10) X,tp_H (tr=1.30081e-10) Y,tp_H (tr=1.98535e-10) X,tp_H (tr=1.98535e-10) Y
3.65616e-16,1.981963325618099e-11,3.65616e-16,2.017698496707645e-11,3.65616e-16,2.182940003151038e-11,3.65616e-16,2.531080886443235e-11,3.65616e-16,2.927739204305835e-11,3.65616e-16,3.295802859715232e-11,3.65616e-16,3.63634915871241e-11
1.89304e-15,1.981963325618099e-11,1.89304e-15,2.017698496707645e-11,1.89304e-15,2.182940003151038e-11,1.89304e-15,2.531080886443235e-11,1.89304e-15,2.927739204305835e-11,1.89304e-15,3.295802859715232e-11,1.89304e-15,3.63634915871241e-11
3.78609e-15,2.286638647949875e-11,3.78609e-15,2.32142769416067e-11,3.78609e-15,2.487285245890414e-11,3.78609e-15,2.829700833367653e-11,3.78609e-15,3.227821868168114e-11,3.78609e-15,3.597473504250114e-11,3.78609e-15,3.942486268602828e-11
7.57217e-15,3.344386012180592e-11,7.57217e-15,3.381402309951943e-11,7.57217e-15,3.542586166897584e-11,7.57217e-15,3.871054352770512e-11,7.57217e-15,4.251938028075417e-11,7.57217e-15,4.624690272594931e-11,7.57217e-15,4.976981319257902e-11
1.51443e-14,4.730651814350963e-11,1.51443e-14,4.762826662697197e-11,1.51443e-14,4.92183547876795e-11,1.51443e-14,5.247370355861006e-11,1.51443e-14,5.608568239247393e-11,1.51443e-14,5.957013918990267e-11,1.51443e-14,6.280829482288115e-11
3.02887e-14,7.483687792285426e-11,3.02887e-14,7.525299489810097e-11,3.02887e-14,7.696331066994933e-11,3.02887e-14,8.008871951835651e-11,3.02887e-14,8.359388575482201e-11,3.02887e-14,8.669796922006003e-11,3.02887e-14,8.964838518355267e-11
6.057739999999999e-14,1.298778434680315e-10,6.057739999999999e-14,1.305274473091998e-10,6.057739999999999e-14,1.321101341480191e-10,6.057739999999999e-14,1.350595936640971e-10,6.057739999999999e-14,1.383834655763791e-10,6.057739999999999e-14,1.41376502646795e-10,6.057739999999999e-14,1.442185800590441e-10
