tp_L (tr=1.17378e-12) X,tp_L (tr=1.17378e-12) Y,tp_L (tr=4.72397e-12) X,tp_L (tr=4.72397e-12) Y,tp_L (tr=1.71859e-11) X,tp_L (tr=1.71859e-11) Y,tp_L (tr=4.09838e-11) X,tp_L (tr=4.09838e-11) Y,tp_L (tr=7.80596e-11) X,tp_L (tr=7.80596e-11) Y,tp_L (tr=1.30081e-10) X,tp_L (tr=1.30081e-10) Y,tp_L (tr=1.98535e-10) X,tp_L (tr=1.98535e-10) Y
3.65616e-16,1.345515188555472e-11,3.65616e-16,1.371630612119854e-11,3.65616e-16,1.452836724060004e-11,3.65616e-16,1.61760003399115e-11,3.65616e-16,1.837149902843485e-11,3.65616e-16,2.082474022249629e-11,3.65616e-16,2.334683767051156e-11
1.89304e-15,1.345515188555472e-11,1.89304e-15,1.371630612119854e-11,1.89304e-15,1.452836724060004e-11,1.89304e-15,1.61760003399115e-11,1.89304e-15,1.837149902843485e-11,1.89304e-15,2.082474022249629e-11,1.89304e-15,2.334683767051156e-11
3.78609e-15,1.644536414656731e-11,3.78609e-15,1.672909102767897e-11,3.78609e-15,1.756833332620639e-11,3.78609e-15,1.92520544158644e-11,3.78609e-15,2.17193367868305e-11,3.78609e-15,2.461757859920706e-11,3.78609e-15,2.751895447773689e-11
7.57217e-15,2.693242011751823e-11,7.57217e-15,2.721239005758731e-11,7.57217e-15,2.810922785683759e-11,7.57217e-15,2.974182095632109e-11,7.57217e-15,3.271019005569261e-11,7.57217e-15,3.645994704346242e-11,7.57217e-15,4.067633549166192e-11
1.51443e-14,4.045673008875822e-11,1.51443e-14,4.07588692068159e-11,1.51443e-14,4.167086088276158e-11,1.51443e-14,4.326736992329946e-11,1.51443e-14,4.61880041220314e-11,1.51443e-14,5.056426603355475e-11,1.51443e-14,5.568200886586409e-11
3.02887e-14,6.721271438936631e-11,3.02887e-14,6.753154590705536e-11,3.02887e-14,6.844730010802997e-11,3.02887e-14,7.001616574083204e-11,3.02887e-14,7.268866802564616e-11,3.02887e-14,7.707769692034643e-11,3.02887e-14,8.310340232575639e-11
6.057739999999999e-14,1.206383868808679e-10,6.057739999999999e-14,1.207488859326522e-10,6.057739999999999e-14,1.217272705005169e-10,6.057739999999999e-14,1.23305332422955e-10,6.057739999999999e-14,1.259247772201084e-10,6.057739999999999e-14,1.298148138320625e-10,6.057739999999999e-14,1.354640406291318e-10
