tp_H (tf=1.17378e-12) X,tp_H (tf=1.17378e-12) Y,tp_H (tf=4.72397e-12) X,tp_H (tf=4.72397e-12) Y,tp_H (tf=1.71859e-11) X,tp_H (tf=1.71859e-11) Y,tp_H (tf=4.09838e-11) X,tp_H (tf=4.09838e-11) Y,tp_H (tf=7.80596e-11) X,tp_H (tf=7.80596e-11) Y,tp_H (tf=1.30081e-10) X,tp_H (tf=1.30081e-10) Y,tp_H (tf=1.98535e-10) X,tp_H (tf=1.98535e-10) Y
3.65616e-16,1.157619620808258e-11,3.65616e-16,1.193970704093094e-11,3.65616e-16,1.327283224297332e-11,3.65616e-16,1.492789449661914e-11,3.65616e-16,1.631532913784028e-11,3.65616e-16,1.744844726444847e-11,3.65616e-16,1.849182246475653e-11
1.89304e-15,1.157619620808258e-11,1.89304e-15,1.193970704093094e-11,1.89304e-15,1.327283224297332e-11,1.89304e-15,1.492789449661914e-11,1.89304e-15,1.631532913784028e-11,1.89304e-15,1.744844726444847e-11,1.89304e-15,1.849182246475653e-11
3.78609e-15,1.458386823757987e-11,3.78609e-15,1.498631909212204e-11,3.78609e-15,1.6334743619357e-11,3.78609e-15,1.822973567424444e-11,3.78609e-15,2.012007756586065e-11,3.78609e-15,2.19981137714268e-11,3.78609e-15,2.377318085320362e-11
7.57217e-15,2.510455898179639e-11,7.57217e-15,2.559334014493704e-11,7.57217e-15,2.701866760838329e-11,7.57217e-15,2.903322788417784e-11,7.57217e-15,3.208356185087855e-11,7.57217e-15,3.554057571409162e-11,7.57217e-15,3.922612095867603e-11
1.51443e-14,3.891288614367083e-11,1.51443e-14,3.941801194088034e-11,1.51443e-14,4.09209708771575e-11,1.51443e-14,4.29310611213022e-11,1.51443e-14,4.618097401724682e-11,1.51443e-14,5.078573122680541e-11,1.51443e-14,5.589623358820542e-11
3.02887e-14,6.647187175235973e-11,3.02887e-14,6.70034402541317e-11,3.02887e-14,6.855239109731984e-11,3.02887e-14,7.058592687842978e-11,3.02887e-14,7.364323230636926e-11,3.02887e-14,7.85068594805513e-11,3.02887e-14,8.52583086976371e-11
6.057739999999999e-14,1.215146381377198e-10,6.057739999999999e-14,1.220314634288259e-10,6.057739999999999e-14,1.236102556283873e-10,6.057739999999999e-14,1.256699564593827e-10,6.057739999999999e-14,1.286297487444169e-10,6.057739999999999e-14,1.331454769638061e-10,6.057739999999999e-14,1.398054278441922e-10
