t_F (tf=1.17378e-12) X,t_F (tf=1.17378e-12) Y,t_F (tf=4.72397e-12) X,t_F (tf=4.72397e-12) Y,t_F (tf=1.71859e-11) X,t_F (tf=1.71859e-11) Y,t_F (tf=4.09838e-11) X,t_F (tf=4.09838e-11) Y,t_F (tf=7.80596e-11) X,t_F (tf=7.80596e-11) Y,t_F (tf=1.30081e-10) X,t_F (tf=1.30081e-10) Y,t_F (tf=1.98535e-10) X,t_F (tf=1.98535e-10) Y
3.65616e-16,5.315449229282256e-12,3.65616e-16,5.415019147969551e-12,3.65616e-16,5.340726356025848e-12,3.65616e-16,5.454960486943841e-12,3.65616e-16,6.027303639373628e-12,3.65616e-16,6.69887008891873e-12,3.65616e-16,7.718903183951055e-12
1.89304e-15,5.315449229282256e-12,1.89304e-15,5.415019147969551e-12,1.89304e-15,5.340726356025848e-12,1.89304e-15,5.454960486943841e-12,1.89304e-15,6.027303639373628e-12,1.89304e-15,6.69887008891873e-12,1.89304e-15,7.718903183951055e-12
3.78609e-15,6.769632395462295e-12,3.78609e-15,6.646008723828215e-12,3.78609e-15,6.785599629251836e-12,3.78609e-15,6.72641960838438e-12,3.78609e-15,7.274550759608559e-12,3.78609e-15,7.973911267060962e-12,3.78609e-15,8.836590330883465e-12
7.57217e-15,1.150149643365409e-11,7.57217e-15,1.148042667081114e-11,7.57217e-15,1.147843487198036e-11,7.57217e-15,1.151412446634253e-11,7.57217e-15,1.183233999885439e-11,7.57217e-15,1.240030483308622e-11,7.57217e-15,1.326212719693326e-11
1.51443e-14,1.780136092951851e-11,1.51443e-14,1.780354939186837e-11,1.51443e-14,1.78589595866108e-11,1.51443e-14,1.77978328664622e-11,1.51443e-14,1.804564624461265e-11,1.51443e-14,1.839764644468088e-11,1.51443e-14,1.915227479046376e-11
3.02887e-14,3.105658812486799e-11,3.02887e-14,3.099996195682584e-11,3.02887e-14,3.103441085356565e-11,3.02887e-14,3.099844094873902e-11,3.02887e-14,3.112568038973055e-11,3.02887e-14,3.134247092684353e-11,3.02887e-14,3.137013126306057e-11
6.057739999999999e-14,5.846495356521766e-11,6.057739999999999e-14,5.882096609498992e-11,6.057739999999999e-14,5.822977184592025e-11,6.057739999999999e-14,5.879475560933076e-11,6.057739999999999e-14,5.832723711077626e-11,6.057739999999999e-14,5.876348729533441e-11,6.057739999999999e-14,5.863621383081278e-11
